"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00291672","1911-08","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","3",",6","1",",6","0",",6","","","0",",6","","","19110831","+,,6","","","19110824",",,6","","","0",",,6,31,+","2.5",",,6,24,","5.8",",,,6","0",",,,6"
"USC00291672","1911-09","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","6",",6","4",",6","1",",6","","","0",",6","","","19110930","+,,6","","","19110909",",,6","","","0",",,6,30,+","38.1",",,6,09,","60.4",",,,6","0",",,,6"
"USC00291672","1911-10","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","5",",6","3",",6","0",",6","","","","","","","","","1","","19111005",",,6","","","","","5.8",",,6,05,","15.7",",,,6","",""
"USC00291672","1911-11","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","1",",6","0",",6","0",",6","","","0",",6","","","19111130","+,,6","","","19111105",",,6","","","0",",,6,30,+","2.3",",,6,05,","2.3",",,,6","0",",,,6"
"USC00291672","1911-12","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","1",",6","1",",6","0",",6","","","1",",6","","","19111214",",,6","","","19111214",",,6","","","102",",,6,14,","8.1",",,6,14,","8.1",",,,6","102",",,,6"
"USC00291672","1912-01","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","0",",6","0",",6","0",",6","","","0",",6","","","19120131","+,,6","","","19120131","+,,6","","","0",",,6,31,+","0.0",",,6,31,+","0.0",",,,6","0",",,,6"
"USC00291672","1912-02","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","0",",6","0",",6","0",",6","","","0",",6","","","19120229","+,,6","","","19120224",",,6","","","0",",,6,29,+","0.0",",T,6,24,","0.0",",T,,6","0",",,,6"
"USC00291672","1912-03","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","1",",6","1",",6","0",",6","","","0",",6","","","19120331","+,,6","","","19120310",",,6","","","0",",,6,31,+","8.6",",,6,10,","8.6",",,,6","0",",,,6"
"USC00291672","1912-04","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","3",",6","2",",6","1",",6","","","0",",6","","","19120430","+,,6","","","19120407",",,6","","","0",",,6,30,+","27.2",",,6,07,","33.1",",,,6","0",",,,6"
"USC00291672","1912-05","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","0",",6","0",",6","0",",6","","","0",",6","","","19120531","+,,6","","","19120531","+,,6","","","0",",,6,31,+","0.0",",,6,31,+","0.0",",,,6","0",",,,6"
"USC00291672","1912-06","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","2",",6","1",",6","0",",6","","","0",",6","","","19120630","+,,6","","","19120625",",,6","","","0",",,6,30,+","4.1",",,6,25,","6.1",",,,6","0",",,,6"
"USC00291672","1912-07","32.06667","-106.66667","1158.2","CHAMBERINO, NM US","4",",6","3",",6","0",",6","","","0",",6","","","19120731","+,,6","","","19120721",",,6","","","0",",,6,31,+","11.2",",,6,21,","22.7",",,,6","0",",,,6"
