"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00307728","1899-10","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","4.7",",6","11",",6","9",",6","0",",6","0",",6","0",",6","5",",6","0",",6","12",",6","0",",6","18991022",",,6","18991031","+,,6","18991031",",,6","18991014",",,6","-3.9",",6,22,","0",",,6,31,+","10.2",",,6,31,","29.4",",6,14,","","","208.8",",6","53.8",",,,6","0",",,,6","11.75",",6","17.51",",,,6","5.99",",,,6"
"USC00307728","1899-11","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","0.0",",6","12",",6","6",",6","1",",6","1",",6","0",",6","15",",6","0",",6","0",",6","0",",6","18991114",",,6","18991111",",,6","18991101",",,6","18991118",",,6","-5.0",",6,14,","25",",,6,11,","31.2",",,6,01,","15.6",",6,18,","","","432.3",",6","55.0",",,,6","25",",,,6","3.92",",6","7.52",",,,6","0.32",",,,6"
"USC00307728","1899-12","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","0.0","2,6","10",",6","6",",6","0",",6","5",",6","2","1,6","26","1,6","11","1,6","0","1,6","0","1,6","18991231","+,1,6","18991214","+,,6","18991224",",,6","18991212",",1,6","-18.3","1,6,31,+","76",",,6,14,+","21.6",",,6,24,","15.6","1,6,12,","","","591.3","1,6","63.5",",,,6","253",",,,6","-1.90","2,6","2.15","1,,,6","-5.96","1,,,6"
"USC00307728","1900-02","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","0.0",",6","12",",6","11",",6","1",",6","5",",6","3",",6","27",",6","12",",6","0",",6","0",",6","19000226",",,6","19000205",",,6","19000222",",,6","19000213",",,6","-23.3",",6,26,","51",",,6,05,","28.4",",,6,22,","12.8",",6,13,","","","649.2",",6","76.6",",,,6","214",",,,6","-4.85",",6","0.24",",,,6","-9.95",",,,6"
"USC00307728","1900-03","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","0.0",",6","","","","","","","6",",6","2",",6","31",",6","13",",6","0",",6","0",",6","19000312",",,6","19000301",",,6","","","19000309",",,6","-20.0",",6,12,","635",",,6,01,","","","9.4",",6,09,","","","703.8",",6","","","1052",",,,6","-4.37",",6","0.51",",,,6","-9.25",",,,6"
"USC00307728","1900-04","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","0.0",",6","9","1,6","5","1,6","0","1,6","0","1,6","0",",6","9",",6","1",",6","4",",6","0",",6","19000409",",,6","19000419",",1,6","19000422",",1,6","19000430",",,6","-5.6",",6,09,","8","1,,6,19,","6.9","1,,6,22,","23.9",",6,30,","","","304.1",",6","27.2","1,,,6","8","1,,,6","8.20",",6","13.81",",,,6","2.58",",,,6"
"USC00307728","1900-05","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","14.8","2,6","12",",6","7",",6","0",",6","","","0","1,6","4","1,6","0","1,6","18","1,6","0","1,6","19000507",",1,6","","","19000508",",,6","19000515","+,1,6","-3.3","1,6,07,","","","12.7",",,6,08,","30.0","1,6,15,+","","","149.8","1,6","42.5",",,,6","","","13.86","2,6","20.57","1,,,6","7.15","1,,,6"
"USC00307728","1900-06","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","61.9",",6","8",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","28",",6","2",",6","19000618","+,,6","","","19000607",",,6","19000626",",,6","7.8",",6,18,+","","","10.7",",,6,07,","33.3",",6,26,","","","24.4",",6","30.0",",,,6","","","19.58",",6","25.85",",,,6","13.31",",,,6"
"USC00307728","1900-07","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","121.2","2,6","13",",6","9",",6","1",",6","","","0","1,6","0","1,6","0","1,6","29","1,6","7","1,6","19000701",",1,6","","","19000725",",,6","19000717",",1,6","8.3","1,6,01,","","","29.7",",,6,25,","34.4","1,6,17,","7.0","6","7.0","1,6","86.9",",,,6","","","22.24","2,6","28.44","1,,,6","16.05","1,,,6"
"USC00307728","1900-08","42.95","-77.25","201.2","SHORTSVILLE, NY US","","","151.9",",6","9",",6","5",",6","0",",6","","","0",",6","0",",6","0",",6","30",",6","8",",6","19000804",",,6","","","19000813",",,6","19000825","+,,6","10.0",",6,04,","","","21.6",",,6,13,","35.6",",6,25,+","10.6","6","3.6",",6","52.2",",,,6","","","23.11",",6","28.64",",,,6","17.59",",,,6"
