"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00330061","1970-10","41.08028","-81.51694","329.2","AKRON, OH US","","","3.9","1,0","9",",0","7",",0","2",",0","","","0",",0","0",",0","0",",0","0","1,0","5","1,0","0","1,0","19701017","+,,0","","","19701031","+,,0","","","19701012",",,0","19701009","+,1,0","3.3",",0,17,+","","","0",",,0,31,+","54.6",",,0,12,","24.4","1,0,09,+","","","163.6","1,0","127.4",",,,0","0",",,,0","12.98","1,0","17.63","1,,,0","8.34",",,,0"
"USC00330061","1970-11","41.08028","-81.51694","329.2","AKRON, OH US","","","0.0",",0","8",",0","6",",0","0",",0","","","0",",0","0",",0","8",",0","2",",0","0",",0","0",",0","19701125","+,,0","","","19701125","+,,0","","","19701120",",,0","19701109",",,0","-8.9",",0,25,+","","","0",",T,0,25,+","24.1",",,0,20,","18.3",",0,09,","","","373.5",",0","99.0",",,,0","0",",T,,0","5.88",",0","9.72",",,,0","2.05",",,,0"
"USC00330061","1970-12","41.08028","-81.51694","329.2","AKRON, OH US","","","0.0","1,0","10",",0","5",",0","0",",0","","","","","0","1,0","25","1,0","10",",0","0",",0","0",",0","19701226",",1,0","","","","","","","19701212",",,0","19701201",",,0","-10.6","1,0,26,","","","","","22.9",",,0,12,","17.8",",0,01,","","","532.0",",0","71.3",",,,0","","","0.50","1,0","4.25",",,,0","-3.25","1,,,0"
"USC00330061","1971-01","41.08028","-81.51694","329.2","AKRON, OH US","0.0","0","0.0","2,0","13",",0","4",",0","0",",0","","","","","1","1,0","30","1,0","14","1,0","0","1,0","0","1,0","19710131",",1,0","","","","","","","19710104",",,0","19710104",",1,0","-18.9","1,0,31,","","","","","10.2",",,0,04,","12.2","1,0,04,","","","672.5","1,0","34.1",",,,0","","","-4.72","2,0","-0.19","1,,,0","-9.26","1,,,0"
"USC00330061","1971-02","41.08028","-81.51694","329.2","AKRON, OH US","0.0","0","0.0",",0","16",",0","7",",0","0",",0","","","","","3",",0","24",",0","9",",0","0",",0","0",",0","19710202",",,0","","","","","","","19710209",",,0","19710226",",,0","-20.0",",0,02,","","","","","22.9",",,0,09,","16.7",",0,26,","","","546.7",",0","84.5",",,,0","","","-1.19",",0","3.53",",,,0","-5.91",",,,0"
"USC00330061","1971-03","41.08028","-81.51694","329.2","AKRON, OH US","0.0","0","0.0","1,0","12",",0","6",",0","0",",0","","","","","0",",0","27",",0","6","1,0","1","1,0","0","1,0","19710309",",,0","","","","","","","19710307",",,0","19710314",",1,0","-9.4",",0,09,","","","","","8.6",",,0,07,","21.1","1,0,14,","","","515.9","1,0","33.9",",,,0","","","1.12","1,0","5.72","1,,,0","-3.48",",,,0"
"USC00330061","1971-04","41.08028","-81.51694","329.2","AKRON, OH US","0.0","0","0.0",",0","6",",0","3",",0","0",",0","","","","","0",",0","8",",0","0",",0","6",",0","0",",0","19710404",",,0","","","","","","","19710413",",,0","19710412",",,0","-3.3",",0,04,","","","","","15.7",",,0,13,","25.6",",0,12,","","","303.8",",0","24.5",",,,0","","","8.21",",0","13.91",",,,0","2.50",",,,0"
"USC00330061","1971-05","41.08028","-81.51694","329.2","AKRON, OH US","12.8","0","12.8",",0","11",",0","8",",0","0",",0","","","","","0",",0","1",",0","0",",0","13",",0","0",",0","19710504",",,0","","","","","","","19710506",",,0","19710518",",,0","0.0",",0,04,","","","","","24.1",",,0,06,","29.4",",0,18,","","","131.0",",0","73.3",",,,0","","","14.52",",0","20.25",",,,0","8.80",",,,0"
"USC00330061","1971-06","41.08028","-81.51694","329.2","AKRON, OH US","158.9","0","146.1",",0","13",",0","6",",0","0",",0","","","","","0",",0","0",",0","0",",0","30",",0","6",",0","19710610",",,0","","","","","","","19710620",",,0","19710628",",,0","9.4",",0,10,","","","","","14.0",",,0,20,","36.7",",0,28,","","","3.6",",0","52.7",",,,0","","","23.08",",0","28.78",",,,0","17.38",",,,0"
"USC00330061","1971-07","41.08028","-81.51694","329.2","AKRON, OH US","286.2","0","127.3",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","19710718",",,0","19710731","+,,0","19710731","+,,0","","","19710719",",,0","19710707",",,0","12.2",",0,18,","0",",,0,31,+","0",",,0,31,+","34.0",",,0,19,","33.9",",0,07,","0.0","0","0.0",",0","80.6",",,,0","0",",,,0","22.44",",0","27.92",",,,0","16.96",",,,0"
