"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00346931","2009-02","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","4.7",",0","3","2,0","2","2,0","0","2,0","0",",0","0",",0","0",",0","11",",0","0",",0","9",",0","0",",0","20090204",",,0","20090228","+,,0","20090228","+,,0","20090210",",2,0","20090226",",,0","-6.1",",0,04,","0",",,0,28,+","0",",,0,28,+","6.9","2,,0,10,","28.9",",0,26,","","","  12.8",",,,0,3,2","235.5",",0","  21.7",",,,0,3,2","   1.7",",,,0,3,2","   8.3",",,,0,3,2","   6.3",",,,0,3,2","  13.5",",,,0,3,2","19.6",",a,,0","0",",,,0","10.09",",0","17.01",",,,0","3.17",",,,0"
"USC00346931","2009-03","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","16.6","1,0","7","2,0","4","2,0","0","2,0","0",",0","0",",0","0",",0","6",",0","0","1,0","15","1,0","0","1,0","20090302","+,,0","20090331","+,,0","20090331","+,,0","20090330",",2,0","20090305",",1,0","-5.6",",0,02,+","0",",,0,31,+","0",",,0,31,+","13.0","2,,0,30,","30.0","1,0,05,","","","  16.1",",,,0,3,2","186.6","1,0","  23.9",",,,0,3,2","   3.3",",,,0,3,2","   7.8",",,,0,3,2","  10.3",",,,0,3,2","  17.5",",,,0,3,2","42.1",",a,,0","0",",,,0","12.72","1,0","19.14","1,,,0","6.30",",,,0"
"USC00346931","2009-04","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","35.6",",0","7",",0","5",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","21",",0","1",",0","20090407",",,0","20090430","+,,0","20090430","+,,0","20090429",",,0","20090422",",,0","-3.9",",0,07,","0",",,0,30,+","0",",,0,30,+","99.3",",,0,29,","33.3",",0,22,","","","  20.6",",,,0,3,2","103.8",",0","  26.7",",,,0,3,2","   5.6",",,,0,3,2","  13.9",",,,0,3,2","  12.9",",,,0,3,2","  21.2",",,,0,3,2","163.5",",,,0","0",",,,0","16.06",",0","22.86",",,,0","9.26",",,,0"
"USC00346931","2009-05","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","67.4",",0","17",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","1",",0","20090517","+,,0","20090531","+,,0","20090531","+,,0","20090511",",,0","20090531",",,0","8.9",",0,17,+","0",",,0,31,+","0",",,0,31,+","30.7",",,0,11,","32.2",",0,31,","","","  21.1",",,,0,3,2","35.8",",0","  34.4",",,,0,3,2","  12.8",",,,0,3,2","  16.7",",,,0,3,2","  17.7",",,,0,3,2","  25.3",",,,0,3,2","189.5",",,,0","0",",,,0","19.35",",0","24.66",",,,0","14.04",",,,0"
"USC00346931","2009-06","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","243.8",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","19",",0","20090605","+,,0","20090630","+,,0","20090630","+,,0","20090602",",,0","20090627",",,0","13.9",",0,05,+","0",",,0,30,+","0",",,0,30,+","22.6",",,0,02,","37.8",",0,27,","","","  29.4",",,,0,3,2","0.0",",0","  38.9",",,,0,3,2","  18.3",",,,0,3,2","  26.1",",,,0,3,2","  24.7",",,,0,3,2","  33.8",",,,0,3,2","68.7",",,,0","0",",,,0","26.46",",0","31.99",",,,0","20.93",",,,0"
"USC00346931","2009-07","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","277.3",",0","10",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","20090723",",,0","20090731","+,,0","20090731","+,,0","20090704",",,0","20090725","+,,0","16.1",",0,23,","0",",,0,31,+","0",",,0,31,+","34.8",",,0,04,","38.3",",0,25,+","0.0","0","  29.4",",,,0,3,2","0.0",",0","  39.4",",,,0,3,2","  22.8",",,,0,3,2","  28.3",",,,0,3,2","  26.0",",,,0,3,2","  34.7",",,,0,3,2","120.5",",,,0","0",",,,0","27.28",",0","33.37",",,,0","21.18",",,,0"
"USC00346931","2009-08","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","270.4",",0","8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","20090831",",,0","20090831","+,,0","20090831","+,,0","20090827",",,0","20090825",",,0","13.3",",0,31,","0",",,0,31,+","0",",,0,31,+","39.1",",,0,27,","38.9",",0,25,","0.0","0","  28.9",",,,0,3,2","0.0",",0","  38.3",",,,0,3,2","  19.4",",,,0,3,2","  28.9",",,,0,3,2","  25.7",",,,0,3,2","  34.8",",,,0,3,2","57.5",",,,0","0",",,,0","27.06",",0","33.41",",,,0","20.70",",,,0"
"USC00346931","2009-09","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","117.3",",0","12",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","6",",0","20090929",",,0","20090930","+,,0","20090930","+,,0","20090912",",,0","20090909",",,0","7.8",",0,29,","0",",,0,30,+","0",",,0,30,+","20.8",",,0,12,","35.6",",0,09,","12.5","0","  25.6",",,,0,3,2","12.5",",0","  34.4",",,,0,3,2","  15.0",",,,0,3,2","  20.0",",,,0,3,2","  20.7",",,,0,3,2","  27.3",",,,0,3,2","82.9",",,,0","0",",,,0","21.83",",0","27.27",",,,0","16.39",",,,0"
"USC00346931","2009-10","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","7.5",",0","18",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","20091031","+,,0","20091031","+,,0","20091031","+,,0","20091008",",,0","20091001",",,0","2.8",",0,31,+","0",",,0,31,+","0",",,0,31,+","73.7",",,0,08,","31.1",",0,01,","160.6","0","  18.9",",,,0,3,2","148.1",",0","  26.7",",,,0,3,2","   8.3",",,,0,3,2","  15.0",",,,0,3,2","  13.4",",,,0,3,2","  19.0",",,,0,3,2","222.1",",,,0","0",",,,0","13.80",",0","19.09",",,,0","8.50",",,,0"
"USC00346931","2009-11","34.7155","-97.2292","290.8","PAULS VALLEY 1 SSW MESONET, OK US","","","2.0",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","16",",0","0",",0","20091125",",,0","20091130","+,,0","20091130","+,,0","20091129",",,0","20091107",",,0","-2.2",",0,25,","0",",,0,30,+","0",",,0,30,+","8.4",",,0,29,","26.1",",0,07,","314.1","0","  15.0",",,,0,3,2","153.5",",0","  21.7",",,,0,3,2","   4.4",",,,0,3,2","  11.1",",,,0,3,2","   9.9",",,,0,3,2","  16.9",",,,0,3,2","11.7",",,,0","0",",,,0","13.28",",0","19.79",",,,0","6.77",",,,0"
