"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00350312","1945-10","44.726","-120.753","783.3","ASHWOOD, OR US","6",",6","1",",6","0",",6","","","0",",6","","","","","19451031","+,,6","","","19451030",",,6","","","0",",,6,31,+","13.0",",,6,30,","20.1",",,,6","0",",,,6"
"USC00350312","1945-11","44.726","-120.753","783.3","ASHWOOD, OR US","11",",6","3",",6","1",",6","","","0",",6","","","","","19451107",",,6","","","19451118",",,6","","","5",",,6,07,","32.0",",,6,18,","51.0",",,,6","5",",,,6"
"USC00350312","1945-12","44.726","-120.753","783.3","ASHWOOD, OR US","11",",6","4",",6","1",",6","","","","","","","","","","","","","19451228",",,6","","","","","37.3",",,6,28,","65.1",",,,6","",""
"USC00350312","1946-01","44.726","-120.753","783.3","ASHWOOD, OR US","8",",6","4",",6","0",",6","","","1",",6","","","","","19460125",",,6","","","19460122",",,6","","","25",",,6,25,","6.4",",,6,22,","24.2",",,,6","25",",,,6"
"USC00350312","1946-02","44.726","-120.753","783.3","ASHWOOD, OR US","5",",6","0",",6","0",",6","","","0",",6","","","","","19460210","+,,6","","","19460204",",,6","","","0",",T,6,10,+","1.3",",,6,04,","3.6",",,,6","0",",T,,6"
"USC00350312","1946-03","44.726","-120.753","783.3","ASHWOOD, OR US","16",",6","5",",6","0",",6","","","0",",6","","","","","19460329",",,6","","","19460312",",,6","","","0",",T,6,29,","15.2",",,6,12,","45.2",",,,6","0",",T,,6"
"USC00350312","1946-04","44.726","-120.753","783.3","ASHWOOD, OR US","3",",6","0",",6","0",",6","","","0",",6","","","","","19460409","+,,6","","","19460408",",,6","","","0",",T,6,09,+","1.3",",,6,08,","2.4",",,,6","0",",T,,6"
"USC00350312","1946-05","44.726","-120.753","783.3","ASHWOOD, OR US","6",",6","4",",6","0",",6","","","0",",6","","","","","19460531","+,,6","","","19460507",",,6","","","0",",,6,31,+","10.2",",,6,07,","29.3",",,,6","0",",,,6"
"USC00350312","1946-06","44.726","-120.753","783.3","ASHWOOD, OR US","7",",6","4",",6","0",",6","","","0",",6","","","","","19460630","+,,6","","","19460628",",,6","","","0",",,6,30,+","7.1",",,6,28,","21.9",",,,6","0",",,,6"
"USC00350312","1946-07","44.726","-120.753","783.3","ASHWOOD, OR US","1",",6","0",",6","0",",6","","","0",",6","","","","","19460731","+,,6","","","19460708",",,6","","","0",",,6,31,+","2.3",",,6,08,","2.3",",,,6","0",",,,6"
