"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00350388","1909-09","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","3",",6","0",",6","0",",6","19090930","+,,6","2.3",",,6,30,+","4.9",",,,6"
"USC00350388","1909-10","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","6",",6","2",",6","0",",6","19091019",",,6","3.8",",,6,19,","11.1",",,,6"
"USC00350388","1909-11","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","4",",6","3",",6","0",",6","19091122",",,6","10.2",",,6,22,","19.6",",,,6"
"USC00350388","1909-12","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","8",",6","2",",6","0",",6","19091212","+,,6","4.1",",,6,12,+","12.6",",,,6"
"USC00350388","1910-01","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","11",",6","0",",6","0",",6","19100126",",,6","2.0",",,6,26,","9.0",",,,6"
"USC00350388","1910-02","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","10",",6","2",",6","0",",6","19100218",",,6","4.6",",,6,18,","14.1",",,,6"
"USC00350388","1910-03","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","6",",6","4",",6","1",",6","19100320",",,6","25.7",",,6,20,","58.8",",,,6"
"USC00350388","1910-04","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","8",",6","1",",6","0",",6","19100411",",,6","2.5",",,6,11,","12.9",",,,6"
"USC00350388","1910-05","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","7",",6","7",",6","0",",6","19100525",",,6","8.4",",,6,25,","33.2",",,,6"
"USC00350388","1910-06","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","2",",6","2",",6","0",",6","19100616",",,6","5.3",",,6,16,","10.1",",,,6"
"USC00350388","1910-07","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","2",",6","2",",6","0",",6","19100720",",,6","6.4",",,6,20,","8.9",",,,6"
"USC00350388","1910-08","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","1",",6","0",",6","0",",6","19100811",",,6","1.8",",,6,11,","1.8",",,,6"
"USC00350388","1910-09","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","5",",6","3",",6","1",",6","19100916",",,6","31.8",",,6,16,","41.0",",,,6"
"USC00350388","1910-10","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","3",",6","3",",6","0",",6","19101015",",,6","4.1",",,6,15,","10.5",",,,6"
"USC00350388","1910-11","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","8",",6","5",",6","0",",6","19101124",",,6","7.6",",,6,24,","30.0",",,,6"
"USC00350388","1910-12","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","3",",6","2",",6","0",",6","19101203",",,6","6.9",",,6,03,","11.0",",,,6"
"USC00350388","1911-01","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","5",",6","1",",6","0",",6","19110131",",,6","5.1",",,6,31,","9.9",",,,6"
"USC00350388","1911-02","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","7",",6","1",",6","0",",6","19110213",",,6","2.5",",,6,13,","8.8",",,,6"
"USC00350388","1911-03","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","3",",6","0",",6","0",",6","19110307",",,6","2.0",",,6,07,","3.8",",,,6"
"USC00350388","1911-05","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","8",",6","6",",6","0",",6","19110515",",,6","11.4",",,6,15,","39.6",",,,6"
"USC00350388","1911-06","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","9",",6","5",",6","0",",6","19110620",",,6","18.0",",,6,20,","53.3",",,,6"
"USC00350388","1911-08","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","0",",6","0",",6","0",",6","19110831","+,,6","0.0",",,6,31,+","0.0",",,,6"
"USC00350388","1911-09","44.716667","-117.7","1188.7","BAGLEY S RANCH, OR US","4",",6","2",",6","0",",6","19110906",",,6","5.8",",,6,06,","11.9",",,,6"
