"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00352639","1898-06","45.633333","-119.8","253.0","ELLA, OR US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","18980630",",,6","","","","","","","6.9",",,6,30,","","","","","","","6.9",",,,6","","","","","","","",""
"USC00352639","1898-07","45.633333","-119.8","253.0","ELLA, OR US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","18980721","+,,6","","","","","","","0.0",",T,6,21,+","","","","","","","0.0",",T,,6","","","","","","","",""
"USC00352639","1898-08","45.633333","-119.8","253.0","ELLA, OR US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","18980829","+,,6","","","","","","","0.0",",T,6,29,+","","","","","","","0.0",",T,,6","","","","","","","",""
"USC00352639","1898-09","45.633333","-119.8","253.0","ELLA, OR US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","18980921",",,6","","","","","","","12.7",",,6,21,","","","","","","","12.7",",,,6","","","","","","","",""
"USC00352639","1898-10","45.633333","-119.8","253.0","ELLA, OR US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","18981022",",,6","","","","","","","12.7",",,6,22,","","","","","","","15.2",",,,6","","","","","","","",""
"USC00352639","1898-11","45.633333","-119.8","253.0","ELLA, OR US","","","","","11",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","18981128",",,6","","","","","","","6.6",",,6,28,","","","","","","","30.5",",,,6","","","","","","","",""
"USC00352639","1898-12","45.633333","-119.8","253.0","ELLA, OR US","","","","","3",",6","1",",6","0",",6","0",",6","","","","","","","","","","","6","","","","18981230",",,6","18981204",",,6","","","","","0",",T,6,30,","5.1",",,6,04,","","","","","","","7.7",",,,6","0",",T,,6","","","","","",""
"USC00352639","1899-01","45.633333","-119.8","253.0","ELLA, OR US","","","","","8",",6","6",",6","0",",6","5","2,6","","","","","","","","","","","","","","","18990106","+,2,6","18990106","+,,6","","","","","76","2,,6,06,+","7.6",",,6,06,+","","","","","","","38.5",",,,6","330","2,,,6","","","","","",""
"USC00352639","1899-02","45.633333","-119.8","253.0","ELLA, OR US","","","","","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","18990213",",,6","","","","","","","17.8",",,6,13,","","","","","","","33.5",",,,6","","","","","","","",""
"USC00352639","1899-03","45.633333","-119.8","253.0","ELLA, OR US","","","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","18990315",",,6","","","","","","","2.5",",,6,15,","","","","","","","7.3",",,,6","","","","","","","",""
"USC00352639","1899-04","45.633333","-119.8","253.0","ELLA, OR US","","","","","6",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","18990416",",,6","","","","","","","2.5",",,6,16,","","","","","","","8.3",",,,6","","","","","","","",""
"USC00352639","1899-05","45.633333","-119.8","253.0","ELLA, OR US","","","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","18990524",",,6","","","","","","","5.8",",,6,24,","","","","","","","11.6",",,,6","","","","","","","",""
"USC00352639","1899-06","45.633333","-119.8","253.0","ELLA, OR US","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","18990626",",,6","","","","","","","2.0",",,6,26,","","","","","","","2.0",",,,6","","","","","","","",""
"USC00352639","1899-07","45.633333","-119.8","253.0","ELLA, OR US","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","18990729",",,6","","","","","","","0.3",",,6,29,","","","","","","","0.3",",,,6","","","","","","","",""
"USC00352639","1899-08","45.633333","-119.8","253.0","ELLA, OR US","","","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","18990826",",,6","","","","","","","13.0",",,6,26,","","","","","","","23.4",",,,6","","","","","","","",""
"USC00352639","1899-09","45.633333","-119.8","253.0","ELLA, OR US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","18990904",",,6","","","","","","","10.4",",,6,04,","","","","","","","10.4",",,,6","","","","","","","",""
"USC00352639","1899-10","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","18991019",",,6","","","","","","","25.7",",,6,19,","","","","","","","48.0",",,,6","","","","","","","",""
"USC00352639","1899-11","45.633333","-119.8","253.0","ELLA, OR US","","","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","18991129",",,6","","","","","","","11.4",",,6,29,","","","","","","","40.8",",,,6","","","","","","","",""
"USC00352639","1899-12","45.633333","-119.8","253.0","ELLA, OR US","","","","","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","18991210",",,6","","","","","","","9.4",",,6,10,","","","","","","","23.1",",,,6","","","","","","","",""
"USC00352639","1900-01","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19000102",",,6","","","","","","","12.7",",,6,02,","","","","","","","23.4",",,,6","","","","","","","",""
"USC00352639","1900-02","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","3",",6","0",",6","0",",6","","","","","","","","","","","","","","","19000228","+,,6","19000221",",,6","","","","","0",",,6,28,+","6.4",",,6,21,","","","","","","","18.4",",,,6","0",",,,6","","","","","",""
"USC00352639","1900-03","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19000329",",,6","","","","","","","6.9",",,6,29,","","","","","","","16.3",",,,6","","","","","","","",""
"USC00352639","1900-04","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","19000412",",,6","","","","","","","13.5",",,6,12,","","","","","","","27.5",",,,6","","","","","","","",""
"USC00352639","1900-05","45.633333","-119.8","253.0","ELLA, OR US","","","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","19000521",",,6","","","","","","","3.8",",,6,21,","","","","","","","9.9",",,,6","","","","","","","",""
"USC00352639","1900-06","45.633333","-119.8","253.0","ELLA, OR US","","","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","19000622",",,6","","","","","","","7.6",",,6,22,","","","","","","","20.1",",,,6","","","","","","","",""
"USC00352639","1900-07","45.633333","-119.8","253.0","ELLA, OR US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","19000723","+,,6","","","","","","","0.0",",T,6,23,+","","","","","","","0.0",",T,,6","","","","","","","",""
"USC00352639","1900-08","45.633333","-119.8","253.0","ELLA, OR US","","","","","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","19000821",",,6","","","","","","","4.6",",,6,21,","","","","","","","9.4",",,,6","","","","","","","",""
"USC00352639","1900-09","45.633333","-119.8","253.0","ELLA, OR US","","","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","19000907",",,6","","","","","","","5.8",",,6,07,","","","","","","","9.4",",,,6","","","","","","","",""
"USC00352639","1900-10","45.633333","-119.8","253.0","ELLA, OR US","","","","","7",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","19001018",",,6","","","","","","","10.7",",,6,18,","","","","","","","43.5",",,,6","","","","","","","",""
"USC00352639","1900-11","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","5",",6","0",",6","1",",6","","","","","","","","","","","3","","","","19001119",",,6","19001102",",,6","","","","","152",",,6,19,","8.9",",,6,02,","","","","","","","32.5",",,,6","152",",,,6","","","","","",""
"USC00352639","1900-12","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19001215",",,6","","","","","","","8.1",",,6,15,","","","","","","","17.8",",,,6","","","","","","","",""
"USC00352639","1901-01","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","5",",6","0",",6","3",",6","","","","","","","","","","","","","","","19010101",",,6","19010112",",,6","","","","","102",",,6,01,","11.4",",,6,12,","","","","","","","43.8",",,,6","203",",,,6","","","","","",""
"USC00352639","1901-02","45.633333","-119.8","253.0","ELLA, OR US","","","","","8",",6","7",",6","0",",6","0",",6","","","","","","","","","","","","","","","19010228","+,,6","19010226",",,6","","","","","0",",,6,28,+","11.4",",,6,26,","","","","","","","54.7",",,,6","0",",,,6","","","","","",""
"USC00352639","1901-03","45.633333","-119.8","253.0","ELLA, OR US","","","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","19010301",",,6","","","","","","","6.4",",,6,01,","","","","","","","14.1",",,,6","","","","","","","",""
"USC00352639","1901-04","45.633333","-119.8","253.0","ELLA, OR US","","","","","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","19010428",",,6","","","","","","","3.3",",,6,28,","","","","","","","4.6",",,,6","","","","","","","",""
"USC00352639","1901-05","45.633333","-119.8","253.0","ELLA, OR US","","","","","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","19010522",",,6","","","","","","","3.0",",,6,22,","","","","","","","14.5",",,,6","","","","","","","",""
"USC00352639","1901-06","45.633333","-119.8","253.0","ELLA, OR US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","19010611",",,6","","","","","","","15.2",",,6,11,","","","","","","","17.7",",,,6","","","","","","","",""
"USC00352639","1901-07","45.633333","-119.8","253.0","ELLA, OR US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","19010731","+,,6","","","","","","","0.0",",T,6,31,+","","","","","","","0.0",",T,,6","","","","","","","",""
"USC00352639","1901-08","45.633333","-119.8","253.0","ELLA, OR US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","19010807",",,6","","","","","","","2.5",",,6,07,","","","","","","","2.5",",,,6","","","","","","","",""
"USC00352639","1901-09","45.633333","-119.8","253.0","ELLA, OR US","","","","","8",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","19010906",",,6","","","","","","","5.8",",,6,06,","","","","","","","24.4",",,,6","","","","","","","",""
"USC00352639","1901-10","45.633333","-119.8","253.0","ELLA, OR US","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","19011027",",,6","","","","","","","1.5",",,6,27,","","","","","","","1.5",",,,6","","","","","","","",""
"USC00352639","1901-11","45.633333","-119.8","253.0","ELLA, OR US","","","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","19011130",",,6","","","","","","","6.1",",,6,30,","","","","","","","26.6",",,,6","","","","","","","",""
"USC00352639","1901-12","45.633333","-119.8","253.0","ELLA, OR US","","","","","5",",6","5",",6","0",",6","","","","","","","","","","","","","5","","","","","","19011205",",,6","","","","","","","15.7",",,6,05,","","","","","","","43.6",",,,6","","","","","","","",""
"USC00352639","1902-01","45.633333","-119.8","253.0","ELLA, OR US","","","","","4",",6","4",",6","0",",6","2",",6","","","","","","","","","","","6","","","","19020124",",,6","19020130",",,6","","","","","127",",,6,24,","22.9",",,6,30,","","","","","","","45.0",",,,6","178",",,,6","","","","","",""
"USC00352639","1902-02","45.633333","-119.8","253.0","ELLA, OR US","","","","","9",",6","8",",6","0",",6","0",",6","","","","","","","","","","","","","","","19020228","+,,6","19020215",",,6","","","","","0",",,6,28,+","11.4",",,6,15,","","","","","","","56.9",",,,6","0",",,,6","","","","","",""
"USC00352639","1902-03","45.633333","-119.8","253.0","ELLA, OR US","","","","","3",",6","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","19020323",",,6","19020323",",,6","","","","","0",",T,6,23,","6.4",",,6,23,","","","","","","","10.9",",,,6","0",",T,,6","","","","","",""
"USC00352639","1902-04","45.633333","-119.8","253.0","ELLA, OR US","","","","","6",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","19020426",",,6","","","","","","","14.0",",,6,26,","","","","","","","37.5",",,,6","","","","","","","",""
"USC00352639","1902-05","45.633333","-119.8","253.0","ELLA, OR US","","","","","7",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","19020508",",,6","","","","","","","16.0",",,6,08,","","","","","","","36.0",",,,6","","","","","","","",""
