"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00369959","1941-01","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","9",",6","7",",6","0",",6","","","","","19410125",",,6","","","21.3",",,6,25,","73.3",",,,6","",""
"USC00369959","1941-02","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","5",",6","4",",6","0",",6","","","","","19410215",",,6","","","10.2",",,6,15,","25.9",",,,6","",""
"USC00369959","1941-03","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","8",",6","5",",6","1",",6","","","","","19410308",",,6","","","31.0",",,6,08,","67.5",",,,6","",""
"USC00369959","1941-04","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","5",",6","4",",6","0",",6","","","","","19410406",",,6","","","16.3",",,6,06,","46.8",",,,6","",""
"USC00369959","1941-05","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","8",",6","6",",6","0",",6","","","","","19410523",",,6","","","20.3",",,6,23,","50.7",",,,6","",""
"USC00369959","1941-06","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","11",",6","9",",6","1",",6","","","","","19410605",",,6","","","26.9",",,6,05,","111.2",",,,6","",""
"USC00369959","1941-07","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","8",",6","5",",6","1",",6","","","","","19410704",",,6","","","36.8",",,6,04,","62.7",",,,6","",""
"USC00369959","1941-08","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","8",",6","6",",6","1",",6","","","","","19410820",",,6","","","36.3",",,6,20,","81.5",",,,6","",""
"USC00369959","1941-09","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","4",",6","1",",6","0",",6","","","","","19410906",",,6","","","5.6",",,6,06,","9.4",",,,6","",""
"USC00369959","1941-10","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","8",",6","5",",6","0",",6","","","","","19411028",",,6","","","11.4",",,6,28,","31.3",",,,6","",""
"USC00369959","1941-11","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","6",",6","4",",6","0",",6","0",",6","19411130","+,,6","19411123",",,6","0",",,6,30,+","21.6",",,6,23,","57.2",",,,6","0",",,,6"
"USC00369959","1941-12","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","8",",6","5",",6","1",",6","0",",6","19411231","+,,6","19411214",",,6","0",",,6,31,+","32.3",",,6,14,","71.5",",,,6","0",",,,6"
"USC00369959","1942-01","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","7",",6","3",",6","0",",6","","","","","19420104",",,6","","","19.1",",,6,04,","36.9",",,,6","",""
"USC00369959","1942-03","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","11",",6","9",",6","2",",6","","","","","19420303",",,6","","","36.3",",,6,03,","118.6",",,,6","",""
"USC00369959","1942-04","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","7",",6","2",",6","1",",6","","","","","19420410",",,6","","","34.3",",,6,10,","44.3",",,,6","",""
"USC00369959","1942-05","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","11",",6","8",",6","2",",6","","","","","19420522",",,6","","","68.6",",,6,22,","178.9",",,,6","",""
"USC00369959","1942-06","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","13",",6","10",",6","1",",6","","","","","19420627",",,6","","","39.1",",,6,27,","137.7",",,,6","",""
"USC00369959","1942-07","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","12",",6","7",",6","2",",6","","","","","19420704",",,6","","","32.3",",,6,04,","101.8",",,,6","",""
"USC00369959","1942-09","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","7",",6","4",",6","1",",6","","","","","19420928",",,6","","","67.3",",,6,28,","103.0",",,,6","",""
"USC00369959","1942-10","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","12",",6","9",",6","3",",6","","","","","19421017",",,6","","","54.9",",,6,17,","180.4",",,,6","",""
"USC00369959","1942-11","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","10",",6","6",",6","0",",6","","","","","19421130",",,6","","","15.5",",,6,30,","63.6",",,,6","",""
"USC00369959","1942-12","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","12",",6","7",",6","1",",6","","","","","19421230",",,6","","","43.2",",,6,30,","105.1",",,,6","",""
"USC00369959","1943-01","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","9",",6","4",",6","0",",6","","","","","19430127",",,6","","","14.2",",,6,27,","36.7",",,,6","",""
"USC00369959","1943-02","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","7",",6","6",",6","0",",6","","","","","19430212",",,6","","","9.9",",,6,12,","32.0",",,,6","",""
"USC00369959","1943-03","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","12",",6","8",",6","1",",6","","","","","19430307",",,6","","","25.9",",,6,07,","58.5",",,,6","",""
"USC00369959","1943-04","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","10",",6","6",",6","1",",6","","","","","19430420",",,6","","","27.9",",,6,20,","72.9",",,,6","",""
"USC00369959","1943-05","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","13",",6","8",",6","1",",6","","","","","19430520",",,6","","","58.9",",,6,20,","133.5",",,,6","",""
"USC00369959","1943-06","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","10",",6","7",",6","0",",6","","","","","19430629",",,6","","","19.3",",,6,29,","61.1",",,,6","",""
"USC00369959","1943-07","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","14",",6","7",",6","0",",6","","","","","19430705",",,6","","","12.7",",,6,05,","59.4",",,,6","",""
"USC00369959","1943-08","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","5",",6","3",",6","2",",6","","","","","19430805",",,6","","","30.5",",,6,05,","70.6",",,,6","",""
"USC00369959","1943-09","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","3",",6","2",",6","0",",6","","","","","19430905",",,6","","","4.6",",,6,05,","9.0",",,,6","",""
"USC00369959","1943-10","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","11",",6","10",",6","3",",6","","","","","19431026",",,6","","","50.8",",,6,26,","204.8",",,,6","",""
"USC00369959","1943-11","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","4",",6","3",",6","1",",6","","","","","19431109",",,6","","","58.4",",,6,09,","89.0",",,,6","",""
"USC00369959","1943-12","39.937833","-76.717","140.2","YORK VIOLET HILL SUBSTATION, PA US","2",",6","2",",6","1",",6","","","","","19431227",",,6","","","27.9",",,6,27,","30.9",",,,6","",""
