"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00519238","1949-10","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19491031","+,,0","19491031","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","20.6","2,a,,0","0",",,,0"
"USC00519238","1949-11","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19491130","+,,0","19491130","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1949-12","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19491231","+,,0","19491231","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1950-01","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500131","+,,0","19500131","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1950-02","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500228","+,,0","19500228","+,,0","","","0",",,0,28,+","0",",,0,28,+","","","76.8","4,a,,0","0",",,,0"
"USC00519238","1950-03","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500331","+,,0","19500331","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","87.7","3,a,,0","0",",,,0"
"USC00519238","1950-04","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500430","+,,0","19500430","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","231.4","1,a,,0","0",",,,0"
"USC00519238","1950-05","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500531","+,,0","19500531","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1950-06","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500630","+,,0","19500630","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","46.5","2,a,,0","0",",,,0"
"USC00519238","1950-07","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500731","+,,0","19500731","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1950-08","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500831","+,,0","19500831","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","207.9","2,a,,0","0",",,,0"
"USC00519238","1950-09","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19500930","+,,0","19500930","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1950-10","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19501031","+,,0","19501031","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","27.4","3,a,,0","0",",,,0"
"USC00519238","1950-11","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19501130","+,,0","19501130","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1950-12","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19501231","+,,0","19501231","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","212.3","3,a,,0","0",",,,0"
"USC00519238","1951-01","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510131","+,,0","19510131","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1951-02","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510228","+,,0","19510228","+,,0","","","0",",,0,28,+","0",",,0,28,+","","","","","0",",,,0"
"USC00519238","1951-03","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510331","+,,0","19510331","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1951-04","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510430","+,,0","19510430","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1951-05","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510531","+,,0","19510531","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1951-06","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510630","+,,0","19510630","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","39.0","2,a,,0","0",",,,0"
"USC00519238","1951-07","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510731","+,,0","19510731","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","39.2","3,a,,0","0",",,,0"
"USC00519238","1951-08","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510831","+,,0","19510831","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1951-09","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19510930","+,,0","19510930","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1951-10","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19511031","+,,0","19511031","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1951-11","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19511130","+,,0","19511130","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","129.2",",a,,0","0",",,,0"
"USC00519238","1951-12","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19511231","+,,0","19511231","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","202.4","2,a,,0","0",",,,0"
"USC00519238","1952-01","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520131","+,,0","19520131","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","183.4","4,a,,0","0",",,,0"
"USC00519238","1952-02","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520229","+,,0","19520229","+,,0","","","0",",,0,29,+","0",",,0,29,+","","","62.3","4,a,,0","0",",,,0"
"USC00519238","1952-03","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520331","+,,0","19520331","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1952-04","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520430","+,,0","19520430","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1952-05","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520531","+,,0","19520531","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1952-06","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520630","+,,0","19520630","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1952-07","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520731","+,,0","19520731","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1952-08","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520831","+,,0","19520831","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","27.6","3,a,,0","0",",,,0"
"USC00519238","1952-09","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19520930","+,,0","19520930","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1952-10","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19521031","+,,0","19521031","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1952-11","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19521130","+,,0","19521130","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1952-12","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19521231","+,,0","19521231","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1953-01","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530131","+,,0","19530131","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1953-02","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530228","+,,0","19530228","+,,0","","","0",",,0,28,+","0",",,0,28,+","","","107.8",",a,,0","0",",,,0"
"USC00519238","1953-03","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530331","+,,0","19530331","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1953-04","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530430","+,,0","19530430","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1953-05","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530531","+,,0","19530531","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1953-06","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530630","+,,0","19530630","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1953-07","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530731","+,,0","19530731","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1953-08","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530831","+,,0","19530831","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1953-09","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19530930","+,,0","19530930","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1953-10","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19531031","+,,0","19531031","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1953-11","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19531130","+,,0","19531130","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1953-12","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19531231","+,,0","19531231","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1954-01","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540131","+,,0","19540131","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1954-02","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540228","+,,0","19540228","+,,0","","","0",",,0,28,+","0",",,0,28,+","","","","","0",",,,0"
"USC00519238","1954-03","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540331","+,,0","19540331","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1954-04","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540430","+,,0","19540430","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1954-05","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540531","+,,0","19540531","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1954-06","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540630","+,,0","19540630","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1954-07","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540731","+,,0","19540731","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1954-08","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540831","+,,0","19540831","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1954-09","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19540930","+,,0","19540930","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1954-10","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19541031","+,,0","19541031","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1954-11","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19541130","+,,0","19541130","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1954-12","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19541231","+,,0","19541231","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1955-01","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19550131","+,,0","19550131","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","187.0","1,a,,0","0",",,,0"
"USC00519238","1955-02","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19550228","+,,0","19550228","+,,0","","","0",",,0,28,+","0",",,0,28,+","","","593.1",",a,,0","0",",,,0"
"USC00519238","1955-03","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19550331","+,,0","19550331","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","293.2",",a,,0","0",",,,0"
"USC00519238","1955-04","21.48333","-158.15","481.9","WAIANAE 803, HI US","18",",0","8",",0","1",",0","0",",0","0",",0","19550430","+,,0","19550430","+,,0","19550416",",,0","0",",,0,30,+","0",",,0,30,+","26.2",",,0,16,","84.9",",,,0","0",",,,0"
"USC00519238","1955-05","21.48333","-158.15","481.9","WAIANAE 803, HI US","24",",0","11",",0","0",",0","0",",0","0",",0","19550531","+,,0","19550531","+,,0","19550527",",,0","0",",,0,31,+","0",",,0,31,+","14.2",",,0,27,","87.4",",,,0","0",",,,0"
"USC00519238","1955-06","21.48333","-158.15","481.9","WAIANAE 803, HI US","17",",0","7",",0","0",",0","0",",0","0",",0","19550630","+,,0","19550630","+,,0","19550619",",,0","0",",,0,30,+","0",",,0,30,+","9.7",",,0,19,","51.2",",,,0","0",",,,0"
"USC00519238","1955-07","21.48333","-158.15","481.9","WAIANAE 803, HI US","16",",0","10",",0","0",",0","0",",0","0",",0","19550731","+,,0","19550731","+,,0","19550722",",,0","0",",,0,31,+","0",",,0,31,+","19.8",",,0,22,","64.5",",,,0","0",",,,0"
"USC00519238","1955-08","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19550831","+,,0","19550831","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1955-09","21.48333","-158.15","481.9","WAIANAE 803, HI US","18",",0","8",",0","1",",0","0",",0","0",",0","19550930","+,,0","19550930","+,,0","19550923",",,0","0",",,0,30,+","0",",,0,30,+","29.2",",,0,23,","110.2",",,,0","0",",,,0"
"USC00519238","1955-10","21.48333","-158.15","481.9","WAIANAE 803, HI US","20",",0","9",",0","0",",0","0",",0","0",",0","19551031","+,,0","19551031","+,,0","19551004",",,0","0",",,0,31,+","0",",,0,31,+","13.7",",,0,04,","73.7",",,,0","0",",,,0"
"USC00519238","1955-11","21.48333","-158.15","481.9","WAIANAE 803, HI US","17",",0","10",",0","2",",0","0",",0","0",",0","19551130","+,,0","19551130","+,,0","19551111",",,0","0",",,0,30,+","0",",,0,30,+","98.0",",,0,11,","213.2",",,,0","0",",,,0"
"USC00519238","1955-12","21.48333","-158.15","481.9","WAIANAE 803, HI US","17",",0","7",",0","2",",0","0",",0","0",",0","19551231","+,,0","19551231","+,,0","19551220",",,0","0",",,0,31,+","0",",,0,31,+","121.4",",,0,20,","266.7",",,,0","0",",,,0"
"USC00519238","1956-01","21.48333","-158.15","481.9","WAIANAE 803, HI US","21",",0","11",",0","3",",0","0",",0","0",",0","19560131","+,,0","19560131","+,,0","19560112",",,0","0",",,0,31,+","0",",,0,31,+","80.5",",,0,12,","254.5",",,,0","0",",,,0"
"USC00519238","1956-02","21.48333","-158.15","481.9","WAIANAE 803, HI US","26",",0","18",",0","4",",0","0",",0","0",",0","19560229","+,,0","19560229","+,,0","19560225",",,0","0",",,0,29,+","0",",,0,29,+","58.4",",,0,25,","305.5",",,,0","0",",,,0"
"USC00519238","1956-03","21.48333","-158.15","481.9","WAIANAE 803, HI US","20",",0","4",",0","0",",0","0",",0","0",",0","19560331","+,,0","19560331","+,,0","19560324",",,0","0",",,0,31,+","0",",,0,31,+","17.5",",,0,24,","48.8",",,,0","0",",,,0"
"USC00519238","1956-04","21.48333","-158.15","481.9","WAIANAE 803, HI US","16",",0","10",",0","1",",0","0",",0","0",",0","19560430","+,,0","19560430","+,,0","19560422",",,0","0",",,0,30,+","0",",,0,30,+","26.7",",,0,22,","105.3",",,,0","0",",,,0"
"USC00519238","1956-05","21.48333","-158.15","481.9","WAIANAE 803, HI US","22",",0","8",",0","0",",0","0",",0","0",",0","19560531","+,,0","19560531","+,,0","19560511",",,0","0",",,0,31,+","0",",,0,31,+","20.3",",,0,11,","97.1",",,,0","0",",,,0"
"USC00519238","1956-06","21.48333","-158.15","481.9","WAIANAE 803, HI US","21",",0","13",",0","0",",0","0",",0","0",",0","19560630","+,,0","19560630","+,,0","19560603",",,0","0",",,0,30,+","0",",,0,30,+","10.7",",,0,03,","85.5",",,,0","0",",,,0"
"USC00519238","1956-07","21.48333","-158.15","481.9","WAIANAE 803, HI US","24",",0","8",",0","1",",0","0",",0","0",",0","19560731","+,,0","19560731","+,,0","19560720",",,0","0",",,0,31,+","0",",,0,31,+","46.2",",,0,20,","98.2",",,,0","0",",,,0"
"USC00519238","1956-08","21.48333","-158.15","481.9","WAIANAE 803, HI US","16",",0","3",",0","1",",0","0",",0","0",",0","19560831","+,,0","19560831","+,,0","19560818",",,0","0",",,0,31,+","0",",,0,31,+","28.7",",,0,18,","58.9",",,,0","0",",,,0"
"USC00519238","1956-09","21.48333","-158.15","481.9","WAIANAE 803, HI US","11",",0","5",",0","0",",0","0",",0","0",",0","19560930","+,,0","19560930","+,,0","19560917",",,0","0",",,0,30,+","0",",,0,30,+","15.7",",,0,17,","45.0",",,,0","0",",,,0"
"USC00519238","1956-10","21.48333","-158.15","481.9","WAIANAE 803, HI US","20",",0","12",",0","0",",0","0",",0","0",",0","19561031","+,,0","19561031","+,,0","19561015",",,0","0",",,0,31,+","0",",,0,31,+","20.3",",,0,15,","117.6",",,,0","0",",,,0"
"USC00519238","1956-11","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19561130","+,,0","19561130","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","242.4","2,a,,0","0",",,,0"
"USC00519238","1956-12","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19561231","+,,0","19561231","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","187.9","1,a,,0","0",",,,0"
"USC00519238","1957-01","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19570131","+,,0","19570131","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","609.2",",a,,0","0",",,,0"
"USC00519238","1957-02","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19570228","+,,0","19570228","+,,0","","","0",",,0,28,+","0",",,0,28,+","","","156.2",",a,,0","0",",,,0"
"USC00519238","1957-03","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19570331","+,,0","19570331","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","64.9",",a,,0","0",",,,0"
"USC00519238","1957-04","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19570430","+,,0","19570430","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","","","0",",,,0"
"USC00519238","1957-05","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19570531","+,,0","19570531","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
"USC00519238","1957-06","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19570630","+,,0","19570630","+,,0","","","0",",,0,30,+","0",",,0,30,+","","","40.9","2,a,,0","0",",,,0"
"USC00519238","1957-07","21.48333","-158.15","481.9","WAIANAE 803, HI US","","","","","","","0",",0","0",",0","19570731","+,,0","19570731","+,,0","","","0",",,0,31,+","0",",,0,31,+","","","","","0",",,,0"
