"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000MCSA","2003-07","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","","","92.8",",U","0",",U","0",",U","0",",U","30",",U","2",",U","20030723",",,U","20030726",",,U","9.4",",U,23,","32.8",",U,26,","1.9","U","1.9",",U","21.26",",U","27.61",",,,U","14.92",",,,U"
"USR0000MCSA","2003-08","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","","","116.3",",U","0",",U","0",",U","0",",U","31",",U","7",",U","20030831","+,,U","20030824",",,U","7.2",",U,31,+","35.6",",U,24,","7.4","U","5.5",",U","21.91",",U","29.11",",,,U","14.71",",,,U"
"USR0000MCSA","2003-09","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","","","34.3",",U","0",",U","2",",U","0",",U","20",",U","3",",U","20030929",",,U","20030907",",,U","-1.1",",U,29,","34.4",",U,07,","132.5","U","125.1",",U","15.31",",U","22.08",",,,U","8.53",",,,U"
"USR0000MCSA","2003-10","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","","","5.3",",U","0",",U","9",",U","0",",U","8",",U","0",",U","20031002",",,U","20031007",",,U","-7.2",",U,02,","28.3",",U,07,","419.3","U","286.8",",U","9.25",",U","15.64",",,,U","2.87",",,,U"
"USR0000MCSA","2003-11","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","","","0.0",",U","0",",U","25",",U","8",",U","0",",U","0",",U","20031124","+,,U","20031111",",,U","-14.4",",U,24,+","16.1",",U,11,","987.5","U","568.2",",U","-0.61",",U","3.64",",,,U","-4.86",",,,U"
"USR0000MCSA","2003-12","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","","","0.0",",U","2",",U","30",",U","15",",U","0",",U","0",",U","20031212",",,U","20031221",",,U","-23.3",",U,12,","6.7",",U,21,","1698.4","U","710.9",",U","-4.60",",U","-0.52",",,,U","-8.68",",,,U"
"USR0000MCSA","2004-01","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","0.0","U","0.0",",U","13",",U","31",",U","29",",U","0",",U","0",",U","20040130",",,U","20040102",",,U","-32.8",",U,30,","2.8",",U,02,","2657.2","U","958.8",",U","-12.60",",U","-7.89",",,,U","-17.31",",,,U"
"USR0000MCSA","2004-02","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","0.0","U","0.0",",U","4",",U","28",",U","15",",U","0",",U","0",",U","20040204",",,U","20040229",",,U","-29.4",",U,04,","10.6",",U,29,","3360.8","U","703.6",",U","-5.93",",U","-0.90",",,,U","-10.96",",,,U"
"USR0000MCSA","2004-03","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","0.0","U","0.0","2,U","0","1,U","24","1,U","1","1,U","0","1,U","0","1,U","20040312",",1,U","20040326",",1,U","-16.1","1,U,12,","18.9","1,U,26,","3850.5","U","489.7","1,U","1.27","2,U","6.98","1,,,U","-4.44","1,,,U"
"USR0000MCSA","2004-04","45.3028","-93.1011","274.3","CARLOS AVERY MINNESOTA, MN US","4.7","U","4.7",",U","0",",U","15",",U","0",",U","7",",U","1",",U","20040411",",,U","20040428",",,U","-6.7",",U,11,","32.8",",U,28,","4145.3","U","294.8",",U","8.67",",U","16.63",",,,U","0.70",",,,U"
