"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000TMAT","2003-08","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","","","329.4","1,U","0",",U","0",",U","0","1,U","30","1,U","28","1,U","20030813","+,,U","20030830",",1,U","22.2",",U,13,+","35.6","1,U,30,","","","0.0","1,U","29.28","1,U","33.56","1,,,U","24.99",",,,U"
"USR0000TMAT","2003-09","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","","","266.0",",U","0",",U","0",",U","0",",U","30",",U","14",",U","20030930",",,U","20030903",",,U","18.9",",U,30,","35.0",",U,03,","","","0.0",",U","27.20",",U","31.21",",,,U","23.19",",,,U"
"USR0000TMAT","2003-10","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","","","178.4","2,U","0","1,U","0","1,U","0","1,U","30","1,U","1","1,U","20031028",",1,U","20031017",",1,U","9.4","1,U,28,","32.8","1,U,17,","","","3.3","1,U","24.27","2,U","29.19","1,,,U","19.36","1,,,U"
"USR0000TMAT","2003-11","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","","","115.2",",U","0",",U","0",",U","0",",U","26",",U","0",",U","20031124",",,U","20031102",",,U","3.9",",U,24,","30.6",",U,02,","","","28.1",",U","21.24",",U","26.01",",,,U","16.46",",,,U"
"USR0000TMAT","2003-12","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","","","20.8",",U","0",",U","0",",U","0",",U","18",",U","0",",U","20031217",",,U","20031203","+,,U","3.3",",U,17,","25.6",",U,03,+","","","99.4",",U","15.80",",U","21.41",",,,U","10.18",",,,U"
"USR0000TMAT","2004-01","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","9.8","U","9.8",",U","0",",U","0",",U","0",",U","11",",U","0",",U","20040127",",,U","20040125",",,U","2.2",",U,27,","26.1",",U,25,","","","120.8",",U","14.75",",U","18.80",",,,U","10.71",",,,U"
"USR0000TMAT","2004-02","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","13.4","U","3.6",",U","0",",U","0",",U","0",",U","8",",U","0",",U","20040215",",,U","20040223","+,,U","2.2",",U,15,","24.4",",U,23,+","","","125.2",",U","14.14",",U","18.51",",,,U","9.77",",,,U"
"USR0000TMAT","2004-03","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","88.0","U","74.6",",U","0",",U","0",",U","0",",U","30",",U","0",",U","20040310","+,,U","20040331",",,U","11.7",",U,10,+","30.6",",U,31,","","","1.4",",U","20.70",",U","24.95",",,,U","16.44",",,,U"
"USR0000TMAT","2004-04","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","212.3","U","124.3",",U","0",",U","0",",U","0",",U","28",",U","0",",U","20040413",",,U","20040430","+,,U","8.3",",U,13,","28.3",",U,30,+","","","11.7",",U","22.09",",U","26.13",",,,U","18.04",",,,U"
"USR0000TMAT","2004-05","28.1228","-96.8022","11.0","MATAGORDA ISLAND TEXAS, TX US","424.4","U","212.1",",U","0",",U","0",",U","0",",U","31",",U","1",",U","20040503",",,U","20040531",",,U","11.1",",U,03,","32.8",",U,31,","","","0.5",",U","25.16",",U","28.76",",,,U","21.55",",,,U"
