"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000WELR","1985-07","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","49.2","2,U","0","2,U","0","2,U","0","2,U","23","2,U","1","2,U","19850713",",2,U","19850719",",2,U","8.4","2,U,13,","32.7","2,U,19,","43.7","","43.7","2,U","18.52","2,U","24.39","2,,,U","12.66","2,,,U"
"USR0000WELR","1985-08","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","20.1",",U","0",",U","0",",U","0",",U","15",",U","0",",U","19850821","+,,U","19850823",",,U","5.3",",U,21,+","29.6",",U,23,","166.4","","122.7",",U","15.02",",U","20.04",",,,U","10.01",",,,U"
"USR0000WELR","1985-09","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","0.5","2,U","0","2,U","0","2,U","0","1,U","2","1,U","0","1,U","19850918","+,2,U","19850925",",1,U","4.5","2,U,18,+","23.7","1,U,25,","362.6","","196.2","1,U","11.43","2,U","15.20","1,,,U","7.66","2,,,U"
"USR0000WELR","1985-10","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","0.0","2,U","0","2,U","5","2,U","0","2,U","1","2,U","0","2,U","19851008",",2,U","19851004",",2,U","-1.4","2,U,08,","22.6","2,U,04,","705.8","","343.2","2,U","6.50","2,U","9.63","2,,,U","3.36","2,,,U"
"USR0000WELR","1986-07","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","0.5",",U","0",",U","0",",U","0",",U","5",",U","0",",U","19860704",",,U","19860731",",,U","4.1",",U,04,","25.3",",U,31,","195.9","","195.9",",U","12.03",",U","16.28",",,,U","7.78",",,,U"
"USR0000WELR","1986-08","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","63.9",",U","0",",U","0",",U","0",",U","26",",U","0",",U","19860831",",,U","19860826",",,U","8.4",",U,31,","31.9",",U,26,","239.0","","43.1",",U","19.00",",U","24.71",",,,U","13.30",",,,U"
"USR0000WELR","1986-09","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","8.7",",U","0",",U","0",",U","0",",U","4",",U","0",",U","19860924",",,U","19860905",",,U","2.9",",U,24,","27.7",",U,05,","461.4","","222.4",",U","11.21",",U","15.11",",,,U","7.31",",,,U"
"USR0000WELR","1986-10","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","2.3","5,U","0","4,U","0","4,U","0","4,U","8","4,U","0","4,U","19861002",",4,U","19861006","+,4,U","2.9","4,U,02,","24.9","4,U,06,+","588.2","","126.8","4,U","13.50","5,U","18.37","4,,,U","8.63","4,,,U"
"USR0000WELR","1995-05","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","0.0","1,U","0","1,U","0","1,U","0","1,U","5","1,U","0","1,U","19950512",",1,U","19950529",",1,U","0.6","1,U,12,","23.9","1,U,29,","","","226.8","1,U","10.77","1,U","14.71","1,,,U","6.83","1,,,U"
"USR0000WELR","1995-06","46.3522","-122.6058","762.0","ELK ROCK WASHINGTON, WA US","","","12.0",",U","0",",U","0",",U","0",",U","7",",U","0",",U","19950605",",,U","19950630",",,U","1.7",",U,05,","29.4",",U,30,","","","214.8",",U","11.57",",U","15.59",",,,U","7.55",",,,U"
