"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0012M14S","2011-09","37.68","-112.86","3039.5","BRIAN HEAD, UT US","","","0.0",",T","","","","","","","0",",","0",",T","0",",T","0",",T","0",",T","0",",T","20110915",",,T","20110930","+,,T","","","20110903",",,T","2.0",",T,15,","0",",,T,30,+","","","19.5",",T,03,","","","227.2",",T","","","10.76",",T","15.32",",,,T","6.20",",,,T"
"USS0012M14S","2011-10","37.68","-112.86","3039.5","BRIAN HEAD, UT US","","","0.0","1,T","10",",T","10",",T","1",",T","20",",","0","1,T","12","1,T","1",",T","0",",T","0",",T","20111027",",1,T","20111006",",,T","20111005",",,T","20111014",",,T","-10.6","1,T,27,","381",",,T,06,","33.0",",,T,05,","15.7",",T,14,","","","413.2",",T","70.9",",,,T","4.62","1,T","9.58",",,,T","-0.34","1,,,T"
"USS0012M14S","2011-11","37.68","-112.86","3039.5","BRIAN HEAD, UT US","","","0.0",",T","10",",T","10",",T","0",",T","30",",","0",",T","29",",T","8",",T","0",",T","0",",T","20111108","+,,T","20111130",",,T","20111107",",,T","20111127",",,T","-13.2",",T,08,+","406",",,T,30,","10.2",",,T,07,","10.8",",T,27,","","","596.8",",T","48.1",",,,T","-1.56",",T","3.08",",,,T","-6.20",",,,T"
"USS0012M14S","2011-12","37.68","-112.86","3039.5","BRIAN HEAD, UT US","","","0.0",",T","7",",T","7",",T","0",",T","31",",","1",",T","30",",T","16",",T","0",",T","0",",T","20111205",",,T","20111223",",,T","20111201",",,T","20111230",",,T","-19.5",",T,05,","686",",,T,23,","12.7",",,T,01,","8.7",",T,30,","","","710.0",",T","45.7",",,,T","-4.57",",T","-0.41",",,,T","-8.73",",,,T"
"USS0012M14S","2012-01","37.68","-112.86","3039.5","BRIAN HEAD, UT US","0.0","T","0.0",",T","6",",T","6",",T","1",",T","31",",","0",",T","31",",T","10",",T","0",",T","0",",T","20120116",",,T","20120123",",,T","20120121",",,T","20120102",",,T","-14.4",",T,16,","1041",",,T,23,","27.9",",,T,21,","9.1",",T,02,","","","639.1",",T","60.8",",,,T","-2.28",",T","2.29",",,,T","-6.86",",,,T"
"USS0012M14S","2012-02","37.68","-112.86","3039.5","BRIAN HEAD, UT US","0.0","T","0.0",",T","8",",T","8",",T","1",",T","29",",","0",",T","29",",T","17",",T","0",",T","0",",T","20120220",",,T","20120213",",,T","20120212",",,T","20120224",",,T","-15.8",",T,20,","1524",",,T,13,","25.4",",,T,12,","5.9",",T,24,","","","679.1",",T","99.0",",,,T","-5.08",",T","-0.29",",,,T","-9.88",",,,T"
"USS0012M14S","2012-03","37.68","-112.86","3039.5","BRIAN HEAD, UT US","0.0","T","0.0",",T","8",",T","8",",T","0",",T","31",",","0",",T","30",",T","7",",T","0",",T","0",",T","20120302",",,T","20120319",",,T","20120317",",,T","20120322",",,T","-17.4",",T,02,","1600",",,T,19,","22.9",",,T,17,","12.6",",T,22,","","","596.6",",T","81.2",",,,T","-0.91",",T","4.26",",,,T","-6.09",",,,T"
"USS0012M14S","2012-04","37.68","-112.86","3039.5","BRIAN HEAD, UT US","0.0","T","0.0",",T","7",",T","7",",T","1",",T","30",",","0",",T","17",",T","3",",T","0",",T","0",",T","20120402",",,T","20120414",",,T","20120414",",,T","20120423",",,T","-12.5",",T,02,","1600",",,T,14,","27.9",",,T,14,","16.9",",T,23,","","","476.0",",T","78.7",",,,T","2.47",",T","7.24",",,,T","-2.31",",,,T"
"USS0012M14S","2012-05","37.68","-112.86","3039.5","BRIAN HEAD, UT US","0.0","T","0.0",",T","2",",T","2",",T","0",",T","12",",","0",",T","11",",T","0",",T","0",",T","0",",T","20120506",",,T","20120501",",,T","20120518",",,T","20120521",",,T","-4.2",",T,06,","686",",,T,01,","7.6",",,T,18,","19.0",",T,21,","","","335.0",",T","10.1",",,,T","7.53",",T","12.93",",,,T","2.12",",,,T"
"USS0012M14S","2012-06","37.68","-112.86","3039.5","BRIAN HEAD, UT US","0.0","T","0.0",",T","0",",T","0",",T","0",",T","0",",","0",",T","4",",T","0",",T","6",",T","0",",T","20120610",",,T","20120630","+,,T","20120630","+,,T","20120621",",,T","-3.1",",T,10,","0",",,T,30,+","0.0",",,T,30,+","23.3",",T,21,","","","161.9",",T","0.0",",,,T","12.94",",T","19.37",",,,T","6.50",",,,T"
