"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USS0020G02S","1978-10","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","0",",T","0",",T","0",",T","","","","","","","","","","","","","","","","","19781031","+,,T","","","","","","","0.0",",,T,31,+","","","","","","","0.0",",,,T","","","","","",""
"USS0020G02S","1978-11","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","6",",T","6",",T","0",",T","","","","","","","","","","","","","","","","","19781129","+,,T","","","","","","","5.1",",,T,29,+","","","","","","","20.2",",,,T","","","","","",""
"USS0020G02S","1978-12","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","8",",T","8",",T","0",",T","","","","","","","","","","","","","","","","","19781213",",,T","","","","","","","10.2",",,T,13,","","","","","","","40.6",",,,T","","","","","",""
"USS0020G02S","1979-01","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","11",",T","11",",T","0",",T","","","","","","","","","","","","","","","","","19790111",",,T","","","","","","","20.3",",,T,11,","","","","","","","76.1",",,,T","","","","","",""
"USS0020G02S","1979-02","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","19",",T","19",",T","1",",T","","","","","","","","","","","","","","","","","19790228",",,T","","","","","","","30.5",",,T,28,","","","","","","","149.9",",,,T","","","","","",""
"USS0020G02S","1979-03","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","10",",T","10",",T","1",",T","","","","","","","","","","","","","","","","","19790301",",,T","","","","","","","30.5",",,T,01,","","","","","","","78.6",",,,T","","","","","",""
"USS0020G02S","1979-04","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","11",",T","11",",T","1",",T","","","","","","","","","","","","","","","","","19790424",",,T","","","","","","","25.4",",,T,24,","","","","","","","86.2",",,,T","","","","","",""
"USS0020G02S","1979-05","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","5",",T","5",",T","1",",T","","","","","","","","","","","","","","","","","19790510",",,T","","","","","","","25.4",",,T,10,","","","","","","","63.5",",,,T","","","","","",""
"USS0020G02S","1979-06","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","0",",T","0",",T","0",",T","","","","","","","","","","","","","","","","","19790630","+,,T","","","","","","","0.0",",,T,30,+","","","","","","","0.0",",,,T","","","","","",""
"USS0020G02S","1979-07","42.7","-120.8","2158.0","SUMMER RIM, OR US","","","","","2",",T","2",",T","0",",T","","","","","","","","","","","","","","","","","19790716",",,T","","","","","","","5.1",",,T,16,","","","","","","","7.6",",,,T","","","","","",""
