"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00003122","1932-01","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0",",6","6",",6","4",",6","0",",6","","","","","0",",6","10",",6","0",",6","0",",6","0",",6","","","19320124",",,6","","","","","","","19320115",",,6","19320118",",,6","-3.3",",6,24,","","","","","16.5",",,6,15,","20.0",",6,18,","","","341.3",",6","45.8",",,,6","","","7.32",",6","12.74",",,,6","1.91",",,,6"
"USW00003122","1932-02","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0",",6","","","","","","","","","","","0",",6","1",",6","0",",6","6",",6","0",",6","","","19320203",",,6","","","","","","","","","19320226",",,6","-2.2",",6,03,","","","","","","","30.0",",6,26,","","","227.8",",6","","","","","10.48",",6","15.91",",,,6","5.05",",,,6"
"USW00003122","1932-03","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0","1,6","2",",6","1",",6","0",",6","","","","","0","1,6","1","1,6","0",",6","11",",6","0",",6","1","","19320304",",1,6","","","","","","","19320315",",,6","19320327","+,,6","-0.6","1,6,04,","","","","","3.3",",,6,15,","27.2",",6,27,+","","","149.6",",6","3.8",",,,6","","","13.39","1,6","20.38",",,,6","6.40","1,,,6"
"USW00003122","1932-04","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0",",6","2",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","12",",6","0",",6","","","19320427","+,,6","","","","","1","","19320426",",,6","19320410",",,6","2.8",",6,27,+","","","","","3.6",",,6,26,","29.4",",6,10,","","","135.8",",6","4.4",",,,6","","","13.81",",6","21.18",",,,6","6.43",",,,6"
"USW00003122","1932-05","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","5.6","6","5.6","1,6","1",",6","0",",6","0",",6","","","","","0","1,6","0","1,6","0","1,6","16","1,6","2","1,6","1","","19320522",",1,6","","","","","","","19320507",",,6","19320523",",1,6","5.0","1,6,22,","","","","","0.5",",,6,07,","32.8","1,6,23,","","","70.0","1,6","0.5",",,,6","","","16.19","1,6","21.76","1,,,6","10.61","1,,,6"
"USW00003122","1932-06","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","12.8","6","7.2",",6","1",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","25",",6","0",",6","2","","19320607",",,6","","","","","","","19320604",",,6","19320620",",,6","6.1",",6,07,","","","","","1.8",",,6,04,","31.7",",6,20,","","","54.2",",6","1.8",",,,6","","","16.77",",6","22.16",",,,6","11.37",",,,6"
"USW00003122","1932-07","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","35.3","6","22.5",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","0",",6","","","19320713",",,6","","","","","","","19320731","+,,6","19320729",",,6","7.8",",6,13,","","","","","0.0",",,6,31,+","25.6",",6,29,","10.4","6","10.4",",6","0.0",",,,6","","","18.73",",6","23.54",",,,6","13.92",",,,6"
"USW00003122","1932-08","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","66.8","6","31.5","1,6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0","1,6","30","1,6","0","1,6","","","19320818",",,6","","","","","","","19320831","+,,6","19320818",",1,6","8.3",",6,18,","","","","","0.0",",,6,31,+","31.1","1,6,18,","21.6","6","11.2","1,6","0.0",",,,6","","","18.98","1,6","24.53","1,,,6","13.44",",,,6"
"USW00003122","1932-10","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","","","","","5",",6","1",",6","0",",6","","","","","","","","","0","1,6","27","1,6","0","1,6","3","","","","","","","","","","19321009",",,6","19321026",",1,6","","","","","","","5.8",",,6,09,","29.4","1,6,26,","","","","","8.8",",,,6","","","","","23.44","1,,,6","",""
"USW00003122","1932-11","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","","","17.3",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","23",",6","1",",6","1","","19321115",",,6","","","","","","","19321130","+,,6","19321108",",,6","4.4",",6,15,","","","","","0.0",",,6,30,+","32.8",",6,08,","","","51.8",",6","0.0",",,,6","","","17.18",",6","25.75",",,,6","8.61",",,,6"
"USW00003122","1932-12","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","","","0.0",",6","9",",6","6",",6","0",",6","","","","","0",",6","1",",6","0",",6","4",",6","0",",6","","","19321206",",,6","","","","","","","19321212",",,6","19321203",",,6","-1.1",",6,06,","","","","","22.9",",,6,12,","27.2",",6,03,","","","239.5",",6","61.6",",,,6","","","10.61",",6","17.13",",,,6","4.09",",,,6"
"USW00003122","1933-01","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0","1,6","12",",6","9",",6","2",",6","","","","","0",",6","2",",6","0","1,6","6","1,6","0","1,6","3","","19330123",",,6","","","","","","","19330120",",,6","19330114","+,1,6","-2.2",",6,23,","","","","","37.3",",,6,20,","23.9","1,6,14,+","","","252.1","1,6","142.0",",,,6","","","10.03","1,6","17.02","1,,,6","3.05",",,,6"
"USW00003122","1933-02","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0","1,6","1",",6","0",",6","0",",6","","","","","0","1,6","0","1,6","0",",6","4",",6","0",",6","2","","19330210",",1,6","","","","","","","19330223",",,6","19330220",",,6","0.6","1,6,10,","","","","","0.3",",,6,23,","23.9",",6,20,","","","205.2",",6","0.3",",,,6","","","10.75","1,6","17.86",",,,6","3.65","1,,,6"
"USW00003122","1933-03","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0","1,6","2",",6","0",",6","0",",6","","","","","0",",6","0",",6","0","1,6","8","1,6","0","1,6","2","","19330326","+,,6","","","","","","","19330317",",,6","19330304",",1,6","3.3",",6,26,+","","","","","2.3",",,6,17,","26.7","1,6,04,","","","163.2","1,6","3.6",",,,6","","","12.87","1,6","19.51","1,,,6","6.23",",,,6"
"USW00003122","1933-04","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0","1,6","4",",6","2",",6","0",",6","","","","","0",",6","0",",6","0","1,6","9","1,6","0","1,6","","","19330419",",,6","","","","","","","19330428",",,6","19330414",",1,6","1.7",",6,19,","","","","","8.9",",,6,28,","27.8","1,6,14,","","","124.5","1,6","14.5",",,,6","","","14.00","1,6","20.04","1,,,6","7.96",",,,6"
"USW00003122","1933-05","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0","1,6","3",",6","2",",6","0",",6","","","","","0","1,6","0","1,6","0","1,6","8","1,6","0","1,6","","","19330505",",1,6","","","","","","","19330502",",,6","19330524",",1,6","2.8","1,6,05,","","","","","4.6",",,6,02,","27.2","1,6,24,","","","131.6","1,6","10.0",",,,6","","","13.95","1,6","19.87","1,,,6","8.02","1,,,6"
"USW00003122","1933-06","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","0.0","6","0.0",",6","1",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","17",",6","0",",6","","","19330604",",,6","","","","","","","19330605",",,6","19330629",",,6","7.2",",6,04,","","","","","18.5",",,6,05,","23.3",",6,29,","","","63.4",",6","18.5",",,,6","","","16.22",",6","20.93",",,,6","11.51",",,,6"
"USW00003122","1933-07","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","30.9","6","30.9",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","25",",6","0",",6","","","19330709",",,6","","","","","","","19330731","+,,6","19330728","+,,6","11.7",",6,09,","","","","","0.0",",,6,31,+","27.2",",6,28,+","12.5","6","12.5",",6","0.0",",,,6","","","18.93",",6","22.80",",,,6","15.06",",,,6"
"USW00003122","1933-08","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","72.4","6","41.5",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","26",",6","0",",6","","","19330829","+,,6","","","","","","","19330831","+,,6","19330813",",,6","13.3",",6,29,+","","","","","0.0",",,6,31,+","30.0",",6,13,","20.4","6","7.9",",6","0.0",",,,6","","","19.41",",6","23.20",",,,6","15.63",",,,6"
"USW00003122","1933-09","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","72.4","6","0.0",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","12",",6","0",",6","","","19330905",",,6","","","","","","","19330930","+,,6","19330919",",,6","7.8",",6,05,","","","","","0.0",",,6,30,+","24.4",",6,19,","76.2","6","55.8",",6","0.0",",,,6","","","16.47",",6","20.52",",,,6","12.43",",,,6"
"USW00003122","1933-10","33.8016","-118.3419","27.4","TORRANCE AIRPORT, CA US","94.3","6","21.9",",6","1",",6","1",",6","0",",6","","","","","0",",6","0",",6","0",",6","11",",6","4",",6","","","19331022",",,6","","","","","","","19331031",",,6","19331017",",,6","7.2",",6,22,","","","","","6.9",",,6,31,","34.4",",6,17,","125.1","6","48.9",",6","6.9",",,,6","","","17.46",",6","22.00",",,,6","12.92",",,,6"
