"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012931","1949-01","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","7.0","X","7.0",",X","14",",X","7",",X","0",",X","2",",X","1","1,X","0",",X","9",",X","1",",X","6",",X","0",",X","15","","19490131",",,X","19490130",",,X","19490130",",1,X","1","","19490121",",,X","19490109","+,,X","-15.6",",X,31,","127",",,X,30,","127","1,,X,30,","16.0",",,X,21,","28.9",",X,09,+","","","299.0",",X","50.1",",,,X","127","1,,,X","8.91",",X","13.96",",,,X","3.86",",,,X","45",",X","20.1",",X"
"USW00012931","1949-02","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","25.6","X","18.6",",X","4",",X","2",",X","1",",X","0",",X","0",",X","0",",X","1",",X","0",",X","12",",X","0",",X","15","","19490201",",,X","19490228","+,,X","19490228","+,,X","2","","19490225",",,X","19490213",",,X","0.0",",X,01,","0",",,X,28,+","0",",,X,28,+","47.8",",,X,25,","28.9",",X,13,","","","118.6",",X","64.6",",,,X","0",",,,X","14.76",",X","18.89",",,,X","10.63",",,,X","158",",X","19.2",",X"
"USW00012931","1949-03","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","63.8","X","38.2",",X","5","2,X","1","2,X","0","2,X","0",",X","0",",X","0",",X","0",",X","0",",X","24",",X","1",",X","16","","19490310",",,X","19490331","+,,X","19490331","+,,X","3","","19490320",",2,X","19490306",",,X","5.6",",X,10,","0",",,X,31,+","0",",,X,31,+","10.2","2,,X,20,","33.3",",X,06,","","","57.8",",X","14.0","2,,,X","0",",,,X","17.70",",X","23.42",",,,X","11.98",",,,X","45",",X","17.0",",X"
"USW00012931","1949-04","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","123.5","X","59.7",",X","12",",X","11",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","21",",X","1",",X","9","","19490405",",,X","19490430","+,,X","19490430","+,,X","11","","19490424",",,X","19490413",",,X","4.4",",X,05,","0",",,X,30,+","0",",,X,30,+","44.7",",,X,24,","32.8",",X,13,","","","42.3",",X","190.7",",,,X","0",",,,X","18.91",",X","23.94",",,,X","13.89",",,,X","45",",X","18.8",",X"
"USW00012931","1949-05","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","361.3","X","237.8",",X","3",",X","2",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","12",",X","6","","19490511",",,X","19490531","+,,X","19490531","+,,X","6","","19490510",",,X","19490531","+,,X","16.1",",X,11,","0",",,X,31,+","0",",,X,31,+","52.3",",,X,10,","36.1",",X,31,+","","","0.0",",X","62.0",",,,X","0",",,,X","26.00",",X","30.87",",,,X","21.13",",,,X","","","",""
"USW00012931","1949-06","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","643.2","X","281.9",",X","12",",X","10",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","23",",X","1","","19490607",",,X","19490630","+,,X","19490630","+,,X","14","","19490625",",,X","19490624",",,X","16.7",",X,07,","0",",,X,30,+","0",",,X,30,+","260.9",",,X,25,","37.8",",X,24,","","","0.0",",X","363.9",",,,X","0",",,,X","27.73",",X","33.16",",,,X","22.30",",,,X","68",",X","25.9",",X"
"USW00012931","1949-07","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","974.7","X","331.5",",X","6",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","29",",X","3","","19490725",",,X","19490731","+,,X","19490731","+,,X","6","","19490703",",,X","19490711",",,X","21.1",",X,25,","0",",,X,31,+","0",",,X,31,+","27.9",",,X,03,","36.7",",X,11,","0.0","X","0.0",",X","75.7",",,,X","0",",,,X","29.03",",X","34.42",",,,X","23.63",",,,X","90",",X","17.0",",X"
"USW00012931","1949-08","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","1298.1","X","323.4",",X","2",",X","2",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","28",",X","","","19490824",",,X","19490831","+,,X","19490831","+,,X","4","","19490807",",,X","19490829","+,,X","20.0",",X,24,","0",",,X,31,+","0",",,X,31,+","34.3",",,X,07,","38.3",",X,29,+","0.0","X","0.0",",X","43.2",",,,X","0",",,,X","28.77",",X","34.81",",,,X","22.72",",,,X","360",",X","19.2",",X"
"USW00012931","1949-09","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","1570.8","X","272.7",",X","3",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","22",",X","","","19490930",",,X","19490930","+,,X","19490930","+,,X","1","","19490910",",,X","19490907",",,X","13.9",",X,30,","0",",,X,30,+","0",",,X,30,+","15.7",",,X,10,","36.1",",X,07,","0.0","X","0.0",",X","19.8",",,,X","0",",,,X","27.42",",X","33.03",",,,X","21.81",",,,X","135",",X","19.7",",X"
"USW00012931","1949-10","29.35","-98.45","182.0","SAN ANTONIO BROOKS AFB, TX US","1707.4","X","136.6",",X","6",",X","4",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","26",",X","9",",X","6","","19491031",",,X","19491031","+,,X","19491031","+,,X","3","","19491022",",,X","19491011","+,,X","7.2",",X,31,","0",",,X,31,+","0",",,X,31,+","59.7",",,X,22,","33.9",",X,11,+","19.2","X","19.2",",X","182.4",",,,X","0",",,,X","22.12",",X","27.45",",,,X","16.79",",,,X","338",",X","23.2",",X"
