"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012961","2011-10","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.1",",W","","","65.0",",W","2",",W","2",",W","0",",W","","","","","0",",W","1",",W","0",",W","29",",W","1",",W","1","","","","20111029",",,W","","","","","2","","20111009",",,W","20111007",",,W","0.0",",W,29,","","","","","10.7",",,W,09,","32.2",",W,07,","","","43.2",",W","14.8",",,,W","","","19.03",",W","26.53",",,,W","11.54",",,,W","350",",W","","","12.5",",W","",""
"USW00012961","2011-11","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.7",",W","","","20.6",",W","6",",W","4",",W","0",",W","","","","","0",",W","8",",W","0",",W","19",",W","0",",W","6","","","","20111111",",,W","","","","","2","","20111125",",,W","20111121","+,,W","-2.7",",W,11,","","","","","11.2",",,W,25,","27.2",",W,21,+","","","137.1",",W","38.6",",,,W","","","14.45",",W","21.55",",,,W","7.35",",,,W","340",",W","","","13.0",",W","",""
"USW00012961","2011-12","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.1",",W","","","1.6",",W","15",",W","8",",W","0",",W","","","","","0",",W","9",",W","0",",W","7",",W","0",",W","12","","","","20111207",",,W","","","","","1","","20111204",",,W","20111231",",,W","-6.0",",W,07,","","","","","14.5",",,W,04,","25.0",",W,31,","","","285.6",",W","58.2",",,,W","","","9.17",",W","14.48",",,,W","3.87",",,,W","140",",W","","","10.7",",W","",""
"USW00012961","2012-01","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","2.6",",W","0.0","W","0.0",",W","5",",W","3",",W","1",",W","","","","","0",",W","11",",W","0",",W","9",",W","0",",W","12","","4","","20120114","+,,W","","","","","3","","20120109",",,W","20120122","+,,W","-3.8",",W,14,+","","","","","27.7",",,W,09,","26.1",",W,22,+","","","250.8",",W","51.0",",,,W","","","10.24",",W","17.99",",,,W","2.49",",,,W","350",",W","","","13.0",",W","",""
"USW00012961","2012-02","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.0","1,W","3.3","W","3.3","1,W","10","1,W","5","1,W","0","1,W","","","","","0","1,W","3","1,W","0","1,W","9","1,W","0","1,W","12","","3","","20120212",",1,W","","","","","5","","20120217",",1,W","20120223",",1,W","-1.0","1,W,12,","","","","","24.6","1,,W,17,","30.0","1,W,23,","","","197.5","1,W","51.5","1,,,W","","","11.40","1,W","17.06","1,,,W","5.74","1,,,W","250","1,W","","","10.7","1,W","",""
"USW00012961","2012-03","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.7",",W","26.9","W","23.6",",W","6",",W","3",",W","0",",W","","","","","0",",W","1",",W","0",",W","24",",W","0",",W","12","","2","","20120304",",,W","","","","","6","","20120309",",,W","20120331",",,W","0.0",",W,04,","","","","","9.7",",,W,09,","31.1",",W,31,","","","86.2",",W","27.0",",,,W","","","16.31",",W","22.49",",,,W","10.14",",,,W","150",",W","","","13.0",",W","",""
"USW00012961","2012-04","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.8",",W","112.6","W","85.7",",W","1",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","3",",W","6","","","","20120404",",,W","","","","","3","","20120415",",,W","20120426",",,W","5.0",",W,04,","","","","","0.5",",,W,15,","35.0",",W,26,","","","7.0",",W","0.5",",,,W","","","20.96",",W","28.12",",,,W","13.79",",,,W","150",",W","","","10.3",",W","",""
"USW00012961","2012-05","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.5",",W","262.7","W","150.1",",W","11",",W","8",",W","2",",W","","","","","0",",W","0",",W","0",",W","29",",W","11",",W","3","","","","20120516",",,W","","","","","8","","20120510",",,W","20120505",",,W","12.2",",W,16,","","","","","52.8",",,W,10,","35.0",",W,05,","","","3.9",",W","148.4",",,,W","","","23.05",",W","29.02",",,,W","17.08",",,,W","160",",W","","","9.4",",W","",""
"USW00012961","2012-06","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.3",",W","518.6","W","255.9",",W","3",",W","0",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","28",",W","2","","","","20120609","+,,W","","","","","3","","20120607",",,W","20120626",",,W","16.1",",W,09,+","","","","","2.0",",,W,07,","37.8",",W,26,","","","0.0",",W","3.1",",,,W","","","26.86",",W","33.23",",,,W","20.50",",,,W","360",",W","","","9.8",",W","",""
"USW00012961","2012-07","29.98333","-99.08333","492.9","KERRVILLE MUNICIPAL AIRPORT, TX US","3.1","1,W","801.4","W","282.8","1,W","8","1,W","4","1,W","0","1,W","","","","","0","1,W","0","1,W","0","1,W","30","1,W","28","1,W","6","","","","20120716","+,1,W","","","","","8","","20120709",",1,W","20120721",",1,W","17.8","1,W,16,+","","","","","10.2","1,,W,09,","37.2","1,W,21,","0.0","W","0.0","1,W","35.2","1,,,W","","","27.76","1,W","33.68","1,,,W","21.84","1,,,W","170","1,W","170","4,W","8.9","1,W","13.0","4,W"
