"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00021510","1998-01","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","","","144.6","W","144.6","2,M","","","","","","","","","","","0","2,M","0","2,M","0",",M","31",",M","0",",M","","","","","19980130","+,2,M","","","","","","","","","19980117",",,M","17.2","2,M,30,+","","","","","","","29.4",",M,17,","","","0.0",",M","","","","","23.28","2,M","27.15",",,,M","19.42","2,,,M","","","","","","","","","",""
"USW00021510","1998-02","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","","","283.8","W","139.2",",M","","","","","","","","","","","0",",M","0",",M","0",",M","28",",M","0",",M","","","","","19980206",",,M","","","","","","","","","19980213","+,,M","15.6",",M,06,","","","","","","","28.9",",M,13,+","","","0.0",",M","","","","","23.30",",M","27.23",",,,M","19.38",",,,M","","","","","","","","","",""
"USW00021510","1998-03","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","","","459.9","W","176.1","1,M","","","","","","","","","","","0","1,M","0","1,M","0","1,M","30","1,M","0","1,M","","","","","19980325","+,1,M","","","","","","","","","19980323",",1,M","18.9","1,M,25,+","","","","","","","30.6","1,M,23,","","","0.0","1,M","","","","","24.20","1,M","28.03","1,,,M","20.37","1,,,M","","","","","","","","","",""
"USW00021510","1998-04","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","3.9",",W","644.0","W","184.1",",W","2",",W","1",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","0",",W","","","","","19980414",",,W","","","","","","","19980411",",,W","19980412","+,,W","19.4",",W,14,","","","","","6.9",",,W,11,","30.0",",W,12,+","","","0.0",",W","9.2",",,,W","","","24.47",",W","28.07",",,,W","20.87",",,,W","","","50",",W","40",",W","14.8",",W","17.0",",W"
"USW00021510","1998-05","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","3.5","1,W","819.6","W","175.6","2,W","4","1,W","0","1,W","0","1,W","","","","","0","2,W","0","2,W","0","2,W","29","2,W","0","2,W","","","","","19980506","+,2,W","","","","","","","19980531","+,1,W","19980521",",2,W","19.4","2,W,06,+","","","","","0.8","1,,W,31,+","28.9","2,W,21,","","","0.0","2,W","2.9","1,,,W","","","24.39","2,W","27.62","2,,,W","21.16","2,,,W","","","30","1,W","50","1,W","12.5","1,W","14.3","1,W"
"USW00021510","1998-06","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","3.5",",W","1024.4","W","204.8","1,W","5",",W","2",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","29","1,W","0","1,W","","","","","19980628","+,1,W","","","","","","","19980604",",,W","19980630","+,1,W","21.1","1,W,28,+","","","","","5.3",",,W,04,","29.4","1,W,30,+","","","0.0","1,W","12.2",",,,W","","","25.39","1,W","28.57","1,,,W","22.22","1,,,W","","","50",",W","40",",W","13.0",",W","16.5",",W"
"USW00021510","1998-07","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","3.5",",W","1263.5","W","239.1","1,W","1",",W","1",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","30","1,W","0","1,W","","","","","19980708",",1,W","","","","","","","19980707",",,W","19980706",",1,W","20.6","1,W,08,","","","","","6.9",",,W,07,","31.1","1,W,06,","0.0","W","0.0","1,W","6.9",",,,W","","","26.30","1,W","29.66","1,,,W","22.95","1,,,W","","","40",",W","70",",W","11.2",",W","13.9",",W"
"USW00021510","1998-08","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","3.6",",W","1520.1","W","256.6","1,W","3",",W","1",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","30","1,W","0","1,W","","","","","19980826","+,1,W","","","","","","","19980812",",,W","19980820","+,1,W","22.2","1,W,26,+","","","","","3.3",",,W,12,","31.1","1,W,20,+","0.0","W","0.0","1,W","4.9",",,,W","","","26.89","1,W","30.18","1,,,W","23.59","1,,,W","","","30",",W","10",",W","10.7",",W","13.0",",W"
"USW00021510","1998-09","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","3.5",",W","1762.9","W","242.8",",W","7",",W","3",",W","0",",W","","","","","0",",W","0",",W","0",",W","30",",W","0",",W","","","","","19980911",",,W","","","","","","","19980920",",,W","19980909",",,W","21.1",",W,11,","","","","","20.6",",,W,20,","31.1",",W,09,","0.0","W","0.0",",W","30.1",",,,W","","","26.43",",W","30.02",",,,W","22.84",",,,W","","","50",",W","60",",W","10.7",",W","12.5",",W"
"USW00021510","1998-10","19.73782","-156.04795","11.3","KAILUA KONA KE AHOLE AIRPORT, HI US","3.4",",W","1996.8","W","233.9","1,W","2",",W","1",",W","0",",W","","","","","0","1,W","0","1,W","0","1,W","30","1,W","0","1,W","","","","","19981022",",1,W","","","","","","","19981003",",,W","19981009","+,1,W","21.1","1,W,22,","","","","","4.6",",,W,03,","31.1","1,W,09,+","0.0","W","0.0","1,W","5.6",",,,W","","","26.13","1,W","29.63","1,,,W","22.63","1,,,W","","","40",",W","50",",W","12.5",",W","14.3",",W"
