"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023129","1949-01","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","0.0","X","0.0",",X","9",",X","5",",X","0",",X","0",",X","0",",X","0",",X","4",",X","0",",X","1",",X","0",",X","8","","","","19490104",",,X","19490131","+,,X","19490111","+,,X","1","","19490112",",,X","19490106",",,X","-2.2",",X,04,","0",",,X,31,+","0",",T,X,11,+","12.7",",,X,12,","21.1",",X,06,","","","330.6",",X","38.9",",,,X","","","","","","","0",",T,,X","7.67",",X","12.46",",,,X","2.88",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-02","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","0.0","X","0.0",",X","8",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","4",",X","0",",X","11","","","","19490215","+,,X","19490228","+,,X","19490228","+,,X","","","19490207",",,X","19490222",",,X","1.1",",X,15,+","0",",,X,28,+","0",",,X,28,+","9.4",",,X,07,","23.3",",X,22,","","","221.4",",X","18.9",",,,X","","","","","","","0",",,,X","10.43",",X","15.43",",,,X","5.42",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-03","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","0.0","X","0.0",",X","5",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","21","","","","19490331",",,X","19490331","+,,X","19490331","+,,X","","","19490311",",,X","19490314",",,X","3.9",",X,31,","0",",,X,31,+","0",",,X,31,+","15.5",",,X,11,","20.6",",X,14,","","","199.8",",X","31.0",",,,X","","","","","","","0",",,,X","11.89",",X","16.62",",,,X","7.15",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-04","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","1.7","X","1.7",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","12",",X","0",",X","18","","","","19490403",",,X","19490430","+,,X","19490430","+,,X","","","19490429","+,,X","19490410",",,X","5.6",",X,03,","0",",,X,30,+","0",",,X,30,+","0.0",",T,X,29,+","30.0",",X,10,","","","86.7",",X","0.0",",T,,X","","","","","","","0",",,,X","15.50",",X","20.73",",,,X","10.27",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-05","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","10.4","X","8.7",",X","4",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","11",",X","0",",X","6","","","","19490520",",,X","19490531","+,,X","19490531","+,,X","","","19490518",",,X","19490523",",,X","8.9",",X,20,","0",",,X,31,+","0",",,X,31,+","2.5",",,X,18,","31.1",",X,23,","","","63.1",",X","6.4",",,,X","","","","","","","0",",,,X","16.58",",X","20.83",",,,X","12.33",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-06","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","43.5","X","33.1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","27",",X","1",",X","5","","","","19490620","+,,X","19490630","+,,X","19490630","+,,X","","","19490628","+,,X","19490622",",,X","11.1",",X,20,+","0",",,X,30,+","0",",,X,30,+","0.0",",T,X,28,+","35.0",",X,22,","","","1.7",",X","0.0",",T,,X","","","","","","","0",",,,X","19.38",",X","23.88",",,,X","14.88",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-07","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","97.4","X","53.9",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","15","","","","19490713",",,X","19490731","+,,X","19490731","+,,X","","","19490729",",,X","19490702",",,X","12.2",",X,13,","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,29,","28.3",",X,02,","0.3","","0.3",",X","0.0",",T,,X","","","","","","","0",",,,X","20.06",",X","24.44",",,,X","15.68",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-08","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","176.4","X","79.0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","3",",X","19","","","","19490824","+,,X","19490831","+,,X","19490831","+,,X","1","","19490822",",,X","19490821",",,X","12.2",",X,24,+","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,22,","32.8",",X,21,","5.1","","4.8",",X","0.0",",T,,X","","","","","","","0",",,,X","20.72",",X","26.36",",,,X","15.08",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-09","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","239.0","X","62.6",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","3",",X","23","","","","19490927",",,X","19490930","+,,X","19490930","+,,X","","","19490930","+,,X","19490907",",,X","10.6",",X,27,","0",",,X,30,+","0",",,X,30,+","0.0",",,X,30,+","38.3",",X,07,","10.9","","5.8",",X","0.0",",,,X","","","","","","","0",",,,X","20.23",",X","26.00",",,,X","14.45",",,,X","","","","","","","","","","","","","","","","","",""
"USW00023129","1949-10","33.81177","-118.14718","10.2","LONG BEACH DAUGHERTY AIRPORT, CA US","","","","","","","","","","","257.1","X","18.1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","22",",X","2",",X","7","","","","19491020","+,,X","19491031","+,,X","19491031","+,,X","","","19491018",",,X","19491031",",,X","6.1",",X,20,+","0",",,X,31,+","0",",,X,31,+","0.0",",T,X,18,","33.3",",X,31,","62.6","","51.7",",X","0.0",",T,,X","","","","","","","0",",,,X","17.25",",X","23.26",",,,X","11.24",",,,X","","","","","","","","","","","","","","","","","",""
