"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093727","1955-01","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","0.0","X","0.0",",X","","","","","","","","","","","0",",X","20",",X","0",",X","1",",X","0",",X","","","","","19550131",",,X","","","","","","","","","19550106",",,X","-6.7",",X,31,","","","","","","","23.3",",X,06,","","","404.0",",X","","","","","5.30",",X","10.43",",,,X","0.17",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1955-03","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","25.5",",X","","","","","","","","","","","0",",X","5",",X","0",",X","18",",X","0",",X","","","","","19550327",",,X","","","","","","","","","19550316",",,X","-3.3",",X,27,","","","","","","","29.4",",X,16,","","","147.9",",X","","","","","14.39",",X","20.88",",,,X","7.89",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1955-05","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","125.6","1,X","","","","","","","","","","","0","1,X","0","1,X","0","1,X","30","1,X","5","1,X","","","","","19550502",",1,X","","","","","","","","","19550529","+,1,X","7.2","1,X,02,","","","","","","","32.8","1,X,29,+","","","8.3","1,X","","","","","22.24","1,X","27.98","1,,,X","16.50","1,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1955-06","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","159.4","2,X","","","","","","","","","","","0","2,X","0","2,X","0","2,X","28","2,X","6","2,X","","","","","19550604",",2,X","","","","","","","","","19550613",",2,X","12.2","2,X,04,","","","","","","","35.6","2,X,13,","","","0.0","2,X","","","","","24.03","2,X","29.42","2,,,X","18.63","2,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1955-07","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","297.2","2,X","","","","","","","","","","","0","2,X","0","2,X","0","2,X","29","2,X","22","2,X","","","","","19550702",",2,X","","","","","","","","","19550719",",2,X","17.8","2,X,02,","","","","","","","36.1","2,X,19,","0.0","","0.0","2,X","","","","","28.58","2,X","32.91","2,,,X","24.26","2,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1955-08","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","263.4","3,X","","","","","","","","","","","0","3,X","0","3,X","0","3,X","28","3,X","14","3,X","","","","","19550827",",3,X","","","","","","","","","19550822","+,3,X","18.9","3,X,27,","","","","","","","35.6","3,X,22,+","0.0","","0.0","3,X","","","","","27.74","3,X","31.63","3,,,X","23.85","3,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1955-10","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","64.5","3,X","","","","","","","","","","","0","3,X","0","3,X","0","3,X","26","3,X","0","3,X","","","","","19551026",",3,X","","","","","","","","","19551003",",3,X","5.6","3,X,26,","","","","","","","31.7","3,X,03,","","","26.1","3,X","","","","","19.71","3,X","25.64","3,,,X","13.78","3,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1955-11","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","12.8",",X","","","","","","","","","","","0",",X","3",",X","0",",X","16",",X","0",",X","","","","","19551130",",,X","","","","","","","","","19551116",",,X","-3.3",",X,30,","","","","","","","28.3",",X,16,","","","174.9",",X","","","","","12.93",",X","19.29",",,,X","6.57",",,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1955-12","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","4.0","3,X","","","","","","","","","","","0","2,X","12","2,X","0","2,X","4","2,X","0","2,X","","","","","19551218",",2,X","","","","","","","","","19551226",",2,X","-6.1","2,X,18,","","","","","","","26.7","2,X,26,","","","304.8","2,X","","","","","7.76","3,X","13.22","2,,,X","2.30","2,,,X","","","","","","","","","","","","","","","","","","","",""
"USW00093727","1956-02","34.70842","-77.43966","7.9","NEW RIVER MCAF, NC US","","","","","0.6","2,X","","","","","","","","","","","0","2,X","2","2,X","0","2,X","7","2,X","0","2,X","","","","","19560223",",2,X","","","","","","","","","19560218",",2,X","-1.7","2,X,23,","","","","","","","26.7","2,X,18,","","","177.6","2,X","","","","","11.78","2,X","17.61","2,,,X","5.94","2,,,X","","","","","","","","","","","","","","","","","","","",""
