"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00093937","2021-12","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","","","","","","","0","5,W","0","5,W","0","5,W","","","","","","","","","","","","","","","","","","","20211231","+,5,W","","","","","0.0","5,,W,31,+","","","","","","","0.0","5,,,W","","","","","","","","","","","","","",""
"USW00093937","2022-01","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","","","","","","","0","5,W","0","5,W","0","5,W","","","","","","","","","","","","","","","","","","","20220131","+,5,W","","","","","0.0","5,,W,31,+","","","","","","","0.0","5,,,W","","","","","","","","","","","","","",""
"USW00093937","2022-05","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","4.0",",W","","","184.4",",W","7",",W","7",",W","1",",W","0",",W","0",",W","0",",W","30",",W","15",",W","8","","1","","20220501",",,W","","","20220505",",,W","20220531",",,W","11.1",",W,01,","27.9",",,W,05,","34.4",",W,31,","","","1.9",",W","81.5",",,,W","24.22",",W","29.87",",,,W","18.56",",,,W","340",",W","170","2,W","13.0",",W","17.9","2,W"
"USW00093937","2022-06","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","1.9",",W","","","316.6",",W","2",",W","1",",W","0",",W","0",",W","0",",W","0",",W","30",",W","26",",W","1","","","","20220628",",,W","","","20220602",",,W","20220626","+,,W","18.3",",W,28,","24.9",",,W,02,","38.3",",W,26,+","","","0.0",",W","25.9",",,,W","28.89",",W","34.89",",,,W","22.88",",,,W","350",",W","","","11.2",",W","",""
"USW00093937","2022-07","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","3.3",",W","","","412.1",",W","4","1,W","2","1,W","0","1,W","0",",W","0",",W","0",",W","31",",W","31",",W","2","","","","20220712",",,W","4","","20220721",",1,W","20220720",",,W","22.2",",W,12,","6.6","1,,W,21,","41.1",",W,20,","0.0","W","0.0",",W","13.4","1,,,W","31.63",",W","37.74",",,,W","25.52",",,,W","210",",W","170","2,W","9.4",",W","13.0","2,W"
"USW00093937","2022-08","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","2.9",",W","","","344.9",",W","7",",W","5",",W","2",",W","0",",W","0",",W","0",",W","31",",W","25",",W","9","","1","","20220814",",,W","5","","20220822",",,W","20220817","+,,W","21.1",",W,14,","82.3",",,W,22,","39.4",",W,17,+","0.0","W","0.0",",W","140.7",",,,W","29.46",",W","34.75",",,,W","24.17",",,,W","360",",W","320","5,W","8.1",",W","13.0","5,W"
"USW00093937","2022-09","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","2.1",",W","","","213.5",",W","3",",W","1",",W","0",",W","0",",W","0",",W","0",",W","30",",W","16",",W","2","","","","20220930",",,W","1","","20220925",",,W","20220922",",,W","9.4",",W,30,","4.6",",,W,25,","36.1",",W,22,","0.0","W","0.0",",W","8.7",",,,W","25.45",",W","31.95",",,,W","18.95",",,,W","340",",W","","","7.6",",W","",""
"USW00093937","2022-10","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","2.8",",W","","","65.7",",W","5",",W","4",",W","2",",W","0",",W","0",",W","0",",W","24",",W","2",",W","1","","","","20221019",",,W","2","","20221028",",,W","20221015","+,,W","0.6",",W,19,","53.1",",,W,28,","32.8",",W,15,+","42.4","W","42.4",",W","121.7",",,,W","19.08",",W","25.82",",,,W","12.35",",,,W","200",",W","","","11.2",",W","",""
"USW00093937","2022-11","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","3.1",",W","","","18.7",",W","8",",W","6",",W","1",",W","0",",W","4",",W","0",",W","10",",W","0",",W","12","","1","","20221120",",,W","4","","20221124",",,W","20221109",",,W","-2.7",",W,20,","47.0",",,W,24,","27.8",",W,09,","248.6","W","206.2",",W","112.4",",,,W","12.08",",W","16.84",",,,W","7.33",",,,W","350",",W","","","14.3",",W","",""
"USW00093937","2022-12","33.16667","-95.61667","149.0","SULPHUR SPRINGS MUNICIPAL AIRPORT, TX US","3.5",",W","","","6.4",",W","9","1,W","3","1,W","0","1,W","0",",W","9",",W","1",",W","6",",W","0",",W","14","","3","","20221223",",,W","3","","20221210",",1,W","20221207","+,,W","-12.1",",W,23,","20.8","1,,W,10,","24.4",",W,07,+","514.5","W","265.9",",W","55.8","1,,,W","9.96",",W","14.61",",,,W","5.31",",,,W","330",",W","","","14.3",",W","",""
