"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00094236","1959-09","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","","","6.9",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","4",",X","0",",X","12",",X","0",",X","1","","","","19590928","+,,X","19590930","+,,X","19590930","+,,X","","","19590914",",,X","19590902",",,X","-1.1",",X,28,+","0",",,X,30,+","0",",,X,30,+","8.6",",,X,14,","30.0",",X,02,","","","169.0",",X","17.2",",,,X","0",",,,X","12.93",",X","19.73",",,,X","6.13",",,,X","","","","","","","","","","","","","",""
"USW00094236","1959-10","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","","","0.0",",X","4",",X","2",",X","0",",X","0",",X","0",",X","0",",X","9",",X","0",",X","10",",X","0",",X","10","","","","19591028",",,X","19591031","+,,X","19591031","+,,X","","","19591021",",,X","19591014",",,X","-3.9",",X,28,","0",",,X,31,+","0",",,X,31,+","11.9",",,X,21,","26.1",",X,14,","","","249.4",",X","18.3",",,,X","0",",,,X","10.29",",X","18.11",",,,X","2.47",",,,X","","","","","","","","","","","","","",""
"USW00094236","1959-11","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","","","0.0",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","0",",X","0",",X","0",",X","5","","","","19591127","+,,X","19591130","+,,X","19591120",",,X","","","19591103",",,X","19591102",",,X","-8.3",",X,27,+","0",",,X,30,+","0",",T,X,20,","0.3",",,X,03,","20.0",",X,02,","","","435.8",",X","0.3",",,,X","0",",T,,X","3.81",",X","12.95",",,,X","-5.34",",,,X","","","","","","","","","","","","","",""
"USW00094236","1959-12","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","","","0.0",",X","4",",X","2",",X","0",",X","13",",X","2",",X","0",",X","30",",X","6",",X","0",",X","0",",X","11","","","","19591226","+,,X","19591213",",,X","19591212",",,X","","","19591224",",,X","19591202",",,X","-12.2",",X,26,+","76",",,X,13,","74",",,X,12,","7.1",",,X,24,","13.9",",X,02,","","","627.5",",X","12.4",",,,X","137",",,,X","-1.91",",X","4.43",",,,X","-8.25",",,,X","","","","","","","","","","","","","",""
"USW00094236","1960-01","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","0.0","X","0.0",",X","13",",X","3",",X","0",",X","12",",X","4",",X","0",",X","26",",X","8",",X","0",",X","0",",X","11","","","","19600113",",,X","19600119","+,,X","19600111","+,,X","","","19600107",",,X","19600125",",,X","-16.7",",X,13,","51",",,X,19,+","76",",,X,11,+","9.4",",,X,07,","9.4",",X,25,","","","608.9",",X","21.6",",,,X","225",",,,X","-1.31",",X","2.81",",,,X","-5.43",",,,X","","","","","","","","","","","","","",""
"USW00094236","1960-02","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","0.0","X","0.0",",X","7",",X","4",",X","0",",X","1",",X","3",",X","0",",X","24",",X","1",",X","0",",X","0",",X","2","","","","19600224",",,X","19600204",",,X","19600209",",,X","","","19600207",",,X","19600212",",,X","-11.1",",X,24,","25",",,X,04,","64",",,X,09,","19.8",",,X,07,","11.1",",X,12,","","","502.7",",X","49.4",",,,X","140",",,,X","1.00",",X","5.84",",,,X","-3.84",",,,X","","","","","","","","","","","","","",""
"USW00094236","1960-03","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","0.0","X","0.0",",X","12",",X","6",",X","0",",X","0",",X","4",",X","0",",X","20",",X","0",",X","8",",X","0",",X","8","","","","19600310",",,X","19600331","+,,X","19600303",",,X","","","19600327",",,X","19600324",",,X","-7.2",",X,10,","0",",T,X,31,+","102",",,X,03,","14.0",",,X,27,","23.9",",X,24,","","","392.2",",X","63.3",",,,X","252",",,,X","5.68",",X","11.75",",,,X","-0.39",",,,X","","","","","","","","","","","","","",""
"USW00094236","1960-04","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","0.0","X","0.0",",X","10",",X","0",",X","0",",X","0",",X","0",",X","0",",X","17",",X","0",",X","3",",X","0",",X","5","","","","19600416",",,X","19600423",",,X","19600422",",,X","2","","19600413",",,X","19600404",",,X","-6.1",",X,16,","0",",T,X,23,","10",",,X,22,","2.0",",,X,13,","23.9",",X,04,","","","361.1",",X","8.2",",,,X","13",",,,X","6.30",",X","12.71",",,,X","-0.12",",,,X","","","","","","","","","","","","","",""
"USW00094236","1960-05","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","0.0","X","0.0",",X","9",",X","1",",X","0",",X","0",",X","0",",X","0",",X","13",",X","0",",X","7",",X","0",",X","4","","","","19600522",",,X","19600522","+,,X","19600504",",,X","2","","19600503",",,X","19600530",",,X","-5.0",",X,22,","0",",T,X,22,+","8",",,X,04,","8.9",",,X,03,","24.4",",X,30,","","","304.6",",X","15.6",",,,X","13",",,,X","8.51",",X","15.38",",,,X","1.63",",,,X","","","","","","","","","","","","","",""
"USW00094236","1960-06","42.14702","-121.72553","1244.4","KLAMATH FALLS INTERNATIONAL AIRPORT, OR US","","","9.1","X","9.1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","0",",X","","","","","19600620",",,X","19600630","+,,X","19600630","+,,X","2","","19600628","+,,X","19600612","+,,X","0.6",",X,20,","0",",,X,30,+","0",",,X,30,+","0.0",",T,X,28,+","30.0",",X,12,+","","","57.8",",X","0.0",",T,,X","0",",,,X","16.71",",X","25.83",",,,X","7.59",",,,X","","","","","","","","","","","","","",""
