"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"VMW00041015","1965-11","11.998153","109.219372",,"CAM RANH BAY, VM","","","239.4","3,X","23","3,X","13","3,X","4","3,X","0","2,X","0","2,X","0","3,X","0","3,X","0","3,X","27","3,X","6","3,X","13","","19651125","+,3,X","19651130","+,2,X","19651130","+,2,X","1","","19651127",",3,X","19651110",",3,X","22.8","3,X,25,+","0","2,,X,30,+","0","2,,X,30,+","57.7","3,,X,27,","33.9","3,X,10,","","","0.0","3,X","237.8","3,,,X","0","2,,,X","27.20","3,X","30.37","3,,,X","24.02","3,,,X"
"VMW00041015","1965-12","11.998153","109.219372",,"CAM RANH BAY, VM","","","230.3","1,X","26",",X","18",",X","7",",X","0",",X","0",",X","0","1,X","0","1,X","0","1,X","30","1,X","1","1,X","16","","19651219","+,1,X","19651231","+,,X","19651231","+,,X","","","19651219",",,X","19651221",",1,X","20.6","1,X,19,+","0",",,X,31,+","0",",,X,31,+","144.5",",,X,19,","32.2","1,X,21,","","","0.0","1,X","616.3",",,,X","0",",,,X","26.01","1,X","28.77","1,,,X","23.24","1,,,X"
"VMW00041015","1966-01","11.998153","109.219372",,"CAM RANH BAY, VM","195.6","X","195.6","3,X","11",",X","8",",X","1",",X","0",",X","0",",X","0","3,X","0","3,X","0","2,X","29","2,X","0","2,X","7","","19660126",",3,X","19660131","+,,X","19660131","+,,X","","","19660121",",,X","19660110",",2,X","20.6","3,X,26,","0",",,X,31,+","0",",,X,31,+","44.2",",,X,21,","30.6","2,X,10,","","","0.0","2,X","109.0",",,,X","0",",,,X","25.34","3,X","28.27","2,,,X","22.41","3,,,X"
"VMW00041015","1966-02","11.998153","109.219372",,"CAM RANH BAY, VM","385.3","X","189.7","3,X","4",",X","2",",X","0",",X","0",",X","0",",X","0","3,X","0","3,X","0","3,X","25","3,X","1","3,X","1","","19660212","+,3,X","19660228","+,,X","19660228","+,,X","","","19660220",",,X","19660202",",3,X","20.6","3,X,12,+","0",",,X,28,+","0",",,X,28,+","10.4",",,X,20,","32.2","3,X,02,","","","0.0","3,X","15.6",",,,X","0",",,,X","25.92","3,X","29.40","3,,,X","22.44","3,,,X"
"VMW00041015","1966-03","11.998153","109.219372",,"CAM RANH BAY, VM","669.0","X","283.7",",X","6",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","13",",X","2","","19660315","+,,X","19660331","+,,X","19660331","+,,X","1","","19660311",",,X","19660325",",,X","21.7",",X,15,+","0",",,X,31,+","0",",,X,31,+","22.9",",,X,11,","37.8",",X,25,","","","0.0",",X","47.3",",,,X","0",",,,X","27.49",",X","31.89",",,,X","23.08",",,,X"
"VMW00041015","1966-04","11.998153","109.219372",,"CAM RANH BAY, VM","960.3","X","291.3","2,X","2",",X","2",",X","0",",X","0",",X","0",",X","0","2,X","0","2,X","0","2,X","28","2,X","23","2,X","","","19660406",",2,X","19660430","+,,X","19660430","+,,X","2","","19660421",",,X","19660416",",2,X","22.2","2,X,06,","0",",,X,30,+","0",",,X,30,+","12.7",",,X,21,","36.7","2,X,16,","","","0.0","2,X","20.1",",,,X","0",",,,X","28.74","2,X","33.18","2,,,X","24.30","2,,,X"
"VMW00041015","1966-05","11.998153","109.219372",,"CAM RANH BAY, VM","1285.8","X","325.5",",X","16",",X","10",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","16",",X","5","","19660527","+,,X","19660531","+,,X","19660531","+,,X","12","","19660523",",,X","19660512",",,X","23.3",",X,27,+","0",",,X,31,+","0",",,X,31,+","26.2",",,X,23,","36.7",",X,12,","","","0.0",",X","106.8",",,,X","0",",,,X","28.83",",X","32.75",",,,X","24.92",",,,X"
"VMW00041015","1966-06","11.998153","109.219372",,"CAM RANH BAY, VM","1619.4","X","333.6",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","29",",X","","","19660626",",,X","19660630","+,,X","19660630","+,,X","2","","19660628","+,,X","19660610",",,X","23.3",",X,26,","0",",,X,30,+","0",",,X,30,+","1.3",",,X,28,+","36.1",",X,10,","","","0.0",",X","4.0",",,,X","0",",,,X","29.45",",X","34.13",",,,X","24.78",",,,X"
"VMW00041015","1966-07","11.998153","109.219372",,"CAM RANH BAY, VM","1931.8","X","312.4","1,X","12",",X","6",",X","0",",X","0",",X","0",",X","0","1,X","0","1,X","0","1,X","30","1,X","19","1,X","","","19660731","+,1,X","19660731","+,,X","19660731","+,,X","4","","19660720",",,X","19660726","+,1,X","23.3","1,X,31,+","0",",,X,31,+","0",",,X,31,+","20.8",",,X,20,","36.1","1,X,26,+","0.0","X","0.0","1,X","48.6",",,,X","0",",,,X","28.75","1,X","32.78","1,,,X","24.71","1,,,X"
"VMW00041015","1966-08","11.998153","109.219372",,"CAM RANH BAY, VM","2279.1","X","347.3",",X","11",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","28",",X","1","","19660801",",,X","19660831","+,,X","19660831","+,,X","4","","19660831",",,X","19660818",",,X","23.3",",X,01,","0",",,X,31,+","0",",,X,31,+","9.4",",,X,31,","36.7",",X,18,","0.0","X","0.0",",X","34.0",",,,X","0",",,,X","29.54",",X","33.82",",,,X","25.25",",,,X"
