"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"VQC00673150","1972-01","17.75","-64.83333","76.2","FOUNTAIN, VI US","16",",0","13",",0","0",",0","0",",0","0",",0","19720131","+,,0","19720131","+,,0","","","19720115",",,0","0",",,0,31,+","0",",,0,31,+","14.2",",,0,15,","88.7",",,,0","0",",,,0"
"VQC00673150","1972-02","17.75","-64.83333","76.2","FOUNTAIN, VI US","9",",0","6",",0","0",",0","0",",0","0",",0","19720229","+,,0","19720229","+,,0","","","19720227",",,0","0",",,0,29,+","0",",,0,29,+","18.0",",,0,27,","73.2",",,,0","0",",,,0"
"VQC00673150","1972-03","17.75","-64.83333","76.2","FOUNTAIN, VI US","12",",0","7",",0","3",",0","0",",0","0",",0","19720331","+,,0","19720331","+,,0","","","19720302",",,0","0",",,0,31,+","0",",,0,31,+","52.6",",,0,02,","189.3",",,,0","0",",,,0"
"VQC00673150","1972-04","17.75","-64.83333","76.2","FOUNTAIN, VI US","7",",0","4",",0","0",",0","0",",0","0",",0","19720430","+,,0","19720430","+,,0","","","19720411",",,0","0",",,0,30,+","0",",,0,30,+","18.0",",,0,11,","38.8",",,,0","0",",,,0"
"VQC00673150","1972-05","17.75","-64.83333","76.2","FOUNTAIN, VI US","10",",0","7",",0","0",",0","0",",0","0",",0","19720531","+,,0","19720531","+,,0","","","19720518",",,0","0",",,0,31,+","0",",,0,31,+","7.6",",,0,18,","40.9",",,,0","0",",,,0"
"VQC00673150","1972-06","17.75","-64.83333","76.2","FOUNTAIN, VI US","13",",0","7",",0","1",",0","0",",0","0",",0","19720630","+,,0","19720630","+,,0","","","19720630",",,0","0",",,0,30,+","0",",,0,30,+","25.4",",,0,30,","75.5",",,,0","0",",,,0"
"VQC00673150","1972-07","17.75","-64.83333","76.2","FOUNTAIN, VI US","12",",0","6",",0","0",",0","0",",0","0",",0","19720731","+,,0","19720731","+,,0","","","19720716",",,0","0",",,0,31,+","0",",,0,31,+","12.2",",,0,16,","38.1",",,,0","0",",,,0"
"VQC00673150","1972-08","17.75","-64.83333","76.2","FOUNTAIN, VI US","15",",0","8",",0","0",",0","0",",0","0",",0","19720831","+,,0","19720831","+,,0","","","19720811",",,0","0",",,0,31,+","0",",,0,31,+","13.5",",,0,11,","66.8",",,,0","0",",,,0"
"VQC00673150","1972-09","17.75","-64.83333","76.2","FOUNTAIN, VI US","13",",0","6",",0","1",",0","0",",0","0",",0","19720930","+,,0","19720930","+,,0","","","19720903",",,0","0",",,0,30,+","0",",,0,30,+","26.2",",,0,03,","74.4",",,,0","0",",,,0"
"VQC00673150","1972-10","17.75","-64.83333","76.2","FOUNTAIN, VI US","16",",0","14",",0","1",",0","0",",0","0",",0","19721031","+,,0","19721031","+,,0","","","19721004",",,0","0",",,0,31,+","0",",,0,31,+","36.8",",,0,04,","157.9",",,,0","0",",,,0"
"VQC00673150","1972-11","17.75","-64.83333","76.2","FOUNTAIN, VI US","17",",0","12",",0","0",",0","0",",0","0",",0","19721130","+,,0","19721130","+,,0","","","19721120",",,0","0",",,0,30,+","0",",,0,30,+","10.4",",,0,20,","87.0",",,,0","0",",,,0"
"VQC00673150","1972-12","17.75","-64.83333","76.2","FOUNTAIN, VI US","22",",0","12",",0","1",",0","0",",0","0",",0","19721231","+,,0","19721231","+,,0","","","19721211",",,0","0",",,0,31,+","0",",,0,31,+","31.0",",,0,11,","122.0",",,,0","0",",,,0"
"VQC00673150","1973-01","17.75","-64.83333","76.2","FOUNTAIN, VI US","14",",0","8",",0","0",",0","0",",0","0",",0","19730131","+,,0","19730131","+,,0","","","19730108",",,0","0",",,0,31,+","0",",,0,31,+","17.3",",,0,08,","80.6",",,,0","0",",,,0"
"VQC00673150","1973-02","17.75","-64.83333","76.2","FOUNTAIN, VI US","10",",0","5",",0","0",",0","0",",0","0",",0","19730228","+,,0","19730228","+,,0","","","19730218",",,0","0",",,0,28,+","0",",,0,28,+","8.4",",,0,18,","26.2",",,,0","0",",,,0"
"VQC00673150","1973-03","17.75","-64.83333","76.2","FOUNTAIN, VI US","12","2,0","4","2,0","0","2,0","0","2,0","0","2,0","19730331","+,2,0","19730331","+,2,0","","","19730314",",2,0","0","2,,0,31,+","0","2,,0,31,+","6.1","2,,0,14,","27.3","2,,,0","0","2,,,0"
"VQC00673150","1973-04","17.75","-64.83333","76.2","FOUNTAIN, VI US","4",",0","1",",0","0",",0","0",",0","0",",0","19730430","+,,0","19730430","+,,0","","","19730421",",,0","0",",,0,30,+","0",",,0,30,+","5.3",",,0,21,","9.4",",,,0","0",",,,0"
"VQC00673150","1973-05","17.75","-64.83333","76.2","FOUNTAIN, VI US","10",",0","4",",0","1",",0","0",",0","0",",0","19730531","+,,0","19730531","+,,0","","","19730531",",,0","0",",,0,31,+","0",",,0,31,+","33.0",",,0,31,","62.1",",,,0","0",",,,0"
"VQC00673150","1973-06","17.75","-64.83333","76.2","FOUNTAIN, VI US","17",",0","5",",0","1",",0","0",",0","0",",0","19730630","+,,0","19730630","+,,0","","","19730614",",,0","0",",,0,30,+","0",",,0,30,+","26.9",",,0,14,","63.6",",,,0","0",",,,0"
"VQC00673150","1973-07","17.75","-64.83333","76.2","FOUNTAIN, VI US","17",",0","12",",0","0",",0","0",",0","0",",0","19730731","+,,0","19730731","+,,0","","","19730727",",,0","0",",,0,31,+","0",",,0,31,+","19.8",",,0,27,","103.4",",,,0","0",",,,0"
"VQC00673150","1973-08","17.75","-64.83333","76.2","FOUNTAIN, VI US","17",",0","6",",0","1",",0","0",",0","0",",0","19730831","+,,0","19730831","+,,0","","","19730815",",,0","0",",,0,31,+","0",",,0,31,+","29.0",",,0,15,","99.7",",,,0","0",",,,0"
"VQC00673150","1973-09","17.75","-64.83333","76.2","FOUNTAIN, VI US","19",",0","16",",0","2",",0","0",",0","0",",0","19730930","+,,0","19730930","+,,0","","","19730926",",,0","0",",,0,30,+","0",",,0,30,+","51.6",",,0,26,","229.8",",,,0","0",",,,0"
"VQC00673150","1973-10","17.75","-64.83333","76.2","FOUNTAIN, VI US","15",",0","7",",0","1",",0","0",",0","0",",0","19731031","+,,0","19731031","+,,0","","","19731012",",,0","0",",,0,31,+","0",",,0,31,+","56.6",",,0,12,","122.1",",,,0","0",",,,0"
"VQC00673150","1973-11","17.75","-64.83333","76.2","FOUNTAIN, VI US","14",",0","7",",0","0",",0","0",",0","0",",0","19731130","+,,0","19731130","+,,0","","","19731114",",,0","0",",,0,30,+","0",",,0,30,+","8.9",",,0,14,","55.7",",,,0","0",",,,0"
"VQC00673150","1973-12","17.75","-64.83333","76.2","FOUNTAIN, VI US","14",",0","8",",0","0",",0","0",",0","0",",0","19731231","+,,0","19731231","+,,0","","","19731204",",,0","0",",,0,31,+","0",",,0,31,+","8.6",",,0,04,","53.8",",,,0","0",",,,0"
