"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"WA005294520","1968-01","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19680131","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1968-02","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19680229","+,,I","0.0",",,I,29,+","0.0",",,,I"
"WA005294520","1968-03","-25.03","17.77","1060.0","GIBEON, WA","6",",I","6",",I","2",",I","19680319",",,I","45.0",",,I,19,","133.5",",,,I"
"WA005294520","1968-04","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19680430","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1968-05","-25.03","17.77","1060.0","GIBEON, WA","2",",I","2",",I","0",",I","19680515",",,I","7.5",",,I,15,","10.5",",,,I"
"WA005294520","1968-06","-25.03","17.77","1060.0","GIBEON, WA","1",",I","1",",I","0",",I","19680627",",,I","3.5",",,I,27,","3.5",",,,I"
"WA005294520","1968-07","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19680731","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1968-08","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19680831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1968-09","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19680930","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1968-10","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19681031","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1968-11","-25.03","17.77","1060.0","GIBEON, WA","4",",I","4",",I","0",",I","19681111",",,I","9.6",",,I,11,","22.6",",,,I"
"WA005294520","1968-12","-25.03","17.77","1060.0","GIBEON, WA","2",",I","2",",I","0",",I","19681222",",,I","8.5",",,I,22,","14.5",",,,I"
"WA005294520","1971-01","-25.03","17.77","1060.0","GIBEON, WA","2",",I","1",",I","0",",I","19710130",",,I","2.5",",,I,30,","2.8",",,,I"
"WA005294520","1971-02","-25.03","17.77","1060.0","GIBEON, WA","9",",I","5",",I","0",",I","19710206",",,I","13.0",",,I,06,","35.0",",,,I"
"WA005294520","1971-03","-25.03","17.77","1060.0","GIBEON, WA","3",",I","3",",I","1",",I","19710330",",,I","31.0",",,I,30,","40.0",",,,I"
"WA005294520","1971-04","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19710430","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1971-05","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19710531","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1971-06","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19710630","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1971-07","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19710731","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1971-08","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19710831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1971-09","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19710930","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1971-10","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19711031","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1971-11","-25.03","17.77","1060.0","GIBEON, WA","1",",I","0",",I","0",",I","19711130",",,I","1.5",",,I,30,","1.5",",,,I"
"WA005294520","1971-12","-25.03","17.77","1060.0","GIBEON, WA","2",",I","2",",I","0",",I","19711201",",,I","14.0",",,I,01,","20.0",",,,I"
"WA005294520","1972-01","-25.03","17.77","1060.0","GIBEON, WA","7",",I","7",",I","2",",I","19720119",",,I","31.5",",,I,19,","97.5",",,,I"
"WA005294520","1972-02","-25.03","17.77","1060.0","GIBEON, WA","1",",I","0",",I","0",",I","19720201",",,I","1.5",",,I,01,","1.5",",,,I"
"WA005294520","1972-03","-25.03","17.77","1060.0","GIBEON, WA","7",",I","7",",I","2",",I","19720310",",,I","34.0",",,I,10,","119.0",",,,I"
"WA005294520","1972-04","-25.03","17.77","1060.0","GIBEON, WA","5",",I","5",",I","0",",I","19720405",",,I","24.5",",,I,05,","65.5",",,,I"
"WA005294520","1972-05","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19720531","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1972-06","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19720630","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1972-07","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19720731","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1972-08","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19720831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1972-09","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19720930","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1972-10","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19721031","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1972-11","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19721130","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1972-12","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19721231","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1973-01","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19730131","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1973-02","-25.03","17.77","1060.0","GIBEON, WA","2",",I","2",",I","0",",I","19730218",",,I","22.0",",,I,18,","42.0",",,,I"
"WA005294520","1973-03","-25.03","17.77","1060.0","GIBEON, WA","5",",I","5",",I","2",",I","19730326",",,I","33.0",",,I,26,","85.0",",,,I"
"WA005294520","1973-04","-25.03","17.77","1060.0","GIBEON, WA","2",",I","2",",I","0",",I","19730401",",,I","11.0",",,I,01,","14.5",",,,I"
"WA005294520","1973-05","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19730531","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1973-06","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19730630","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1973-07","-25.03","17.77","1060.0","GIBEON, WA","1",",I","1",",I","0",",I","19730701",",,I","2.6",",,I,01,","2.6",",,,I"
"WA005294520","1973-08","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19730831","+,,I","0.0",",,I,31,+","0.0",",,,I"
"WA005294520","1973-09","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19730930","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1973-10","-25.03","17.77","1060.0","GIBEON, WA","1",",I","1",",I","0",",I","19731022",",,I","20.0",",,I,22,","20.0",",,,I"
"WA005294520","1973-11","-25.03","17.77","1060.0","GIBEON, WA","0",",I","0",",I","0",",I","19731130","+,,I","0.0",",,I,30,+","0.0",",,,I"
"WA005294520","1973-12","-25.03","17.77","1060.0","GIBEON, WA","3",",I","2",",I","0",",I","19731229",",,I","7.5",",,I,29,","12.9",",,,I"
"WA005294520","1974-01","-25.03","17.77","1060.0","GIBEON, WA","13",",I","13",",I","4",",I","19740121",",,I","78.0",",,I,21,","316.7",",,,I"
"WA005294520","1974-02","-25.03","17.77","1060.0","GIBEON, WA","10",",I","9",",I","5",",I","19740220",",,I","95.0",",,I,20,","273.5",",,,I"
"WA005294520","1974-03","-25.03","17.77","1060.0","GIBEON, WA","2",",I","2",",I","1",",I","19740310",",,I","31.5",",,I,10,","40.0",",,,I"
"WA005294520","1974-04","-25.03","17.77","1060.0","GIBEON, WA","5",",I","5",",I","0",",I","19740422",",,I","15.5",",,I,22,","40.0",",,,I"
